Interval=	0.001 s
ExcelDateTime=	4.5725770529008507e+004	3/9/2025 18:29:33.706335
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-6.398438	-6.247266	-6.387891	-6.01875	-6.166406	-6.669141
0.001	-6.398438	-6.247266	-6.387891	-6.01875	-6.166406	-6.672656
0.002	-5.269922	-4.918359	-5.182031	-4.746094	-4.935938	-5.283984
0.003	-3.114844	-2.506641	-2.98125	-2.446875	-2.601563	-2.724609
0.004	-0.8683594	-0.0703125	-0.73125	-0.1371094	-0.1546875	-0.1054688
0.005	1.680469	2.636719	1.792969	2.439844	2.583984	2.801953
0.006	4.243359	5.294531	4.289063	4.967578	5.326172	5.688281
0.007	5.994141	7.034766	5.941406	6.619922	7.207031	7.614844
0.008	6.91875	7.850391	6.742969	7.393359	8.15625	8.546484
0.009	7.140234	7.910156	6.8625	7.456641	8.342578	8.669531
0.01	6.391406	6.950391	6.032813	6.549609	7.509375	7.702734
0.011	4.471875	4.760156	4.039453	4.468359	5.403516	5.385938
0.012	2.197266	2.267578	1.747266	2.105859	2.910938	2.7
0.013	-0.2320313	-0.3269531	-0.6644531	-0.3550781	0.2707031	-0.1089844
0.014	-2.921484	-3.15	-3.297656	-3.0375	-2.615625	-3.167578
0.015	-5.023828	-5.291016	-5.315625	-5.069531	-4.890234	-5.523047
0.016	-6.222656	-6.423047	-6.419531	-6.138281	-6.173438	-6.813281
0.017	-6.700781	-6.760547	-6.781641	-6.451172	-6.6375	-7.231641
0.018	-6.321094	-6.201563	-6.310547	-5.923828	-6.191016	-6.686719
0.019	-4.672266	-4.292578	-4.580859	-4.102734	-4.394531	-4.686328
0.02	-2.323828	-1.694531	-2.197266	-1.63125	-1.831641	-1.905469
0.021	0.1054688	0.9246094	0.225	0.8578125	0.8191406	0.9246094
0.022	2.942578	3.919922	3.019922	3.7125	3.867188	4.155469
0.023	5.477344	6.528516	5.473828	6.194531	6.595313	7.006641
0.024	7.062891	8.075391	6.957422	7.660547	8.310938	8.739844
0.025	7.875	8.757422	7.653516	8.307422	9.144141	9.534375
0.026	7.924219	8.637891	7.59375	8.191406	9.144141	9.457031
0.027	6.75	7.238672	6.321094	6.844922	7.857422	7.998047
0.028	4.5	4.721484	4.011328	4.44375	5.407031	5.322656
0.029	2.067188	2.08125	1.571484	1.933594	2.752734	2.478516
0.03	-0.7101563	-0.8648438	-1.170703	-0.8753906	-0.2285156	-0.6890625
0.031	-3.508594	-3.779297	-3.902344	-3.649219	-3.227344	-3.860156
0.032	-5.424609	-5.702344	-5.723438	-5.470313	-5.294531	-6.001172
0.033	-6.46875	-6.655078	-6.648047	-6.363281	-6.387891	-7.083984
0.034	-6.764063	-6.80625	-6.834375	-6.500391	-6.655078	-7.291406
0.035	-5.976563	-5.800781	-5.951953	-5.544141	-5.776172	-6.271875
0.036	-3.874219	-3.410156	-3.782813	-3.276563	-3.498047	-3.761719
0.037	-1.374609	-0.6714844	-1.276172	-0.6855469	-0.7769531	-0.8261719
0.038	1.328906	2.228906	1.40625	2.063672	2.144531	2.288672
0.039	4.355859	5.410547	4.373438	5.087109	5.392969	5.723438
0.04	6.725391	7.825781	6.648047	7.375781	7.955859	8.384766
0.041	8.114063	9.158203	7.93125	8.634375	9.453516	9.882422
0.042	8.729297	9.646875	8.433984	9.098438	10.09336	10.45547
0.043	8.402344	9.133594	8.005078	8.613281	9.724219	9.95625
0.044	6.672656	7.122656	6.1875	6.704297	7.836328	7.864453
0.045	4.141406	4.324219	3.617578	4.046484	5.069531	4.879688
0.046	1.476563	1.455469	0.95625	1.321875	2.179688	1.789453
0.047	-1.638281	-1.842188	-2.116406	-1.814063	-1.160156	-1.747266
0.048	-4.419141	-4.714453	-4.809375	-4.545703	-4.155469	-4.886719
