Interval=	0.0025 s
ExcelDateTime=	4.5725763333778625e+004	3/9/2025 18:19:12.038473
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-0.6785156	1.132031	1.835156	1.110938	0.8753906	0.6222656
0.0025	-0.6785156	1.132031	1.835156	1.110938	0.8753906	0.6222656
0.005	-0.6785156	1.132031	1.835156	1.110938	0.8753906	0.6222656
0.0075	-0.6785156	1.135547	1.838672	1.110938	0.8753906	0.6222656
0.01	4.464844	6.532031	6.672656	6.226172	6.451172	6.451172
0.0125	6.176953	7.941797	8.128125	7.569141	8.149219	8.135156
0.015	2.763281	3.909375	4.770703	3.76875	4.253906	3.965625
0.0175	-2.749219	-2.025	-0.3972656	-1.8	-1.817578	-2.366016
0.02	-5.90625	-5.080078	-3.174609	-4.637109	-5.182031	-5.733984
0.0225	-4.141406	-2.780859	-1.283203	-2.425781	-3.125391	-3.406641
0.025	1.058203	2.935547	3.7125	2.991797	2.5875	2.654297
0.0275	5.392969	7.323047	7.702734	7.136719	7.207031	7.442578
0.03	5.252344	6.725391	7.386328	6.570703	6.866016	6.971484
0.0325	0.6996094	1.564453	2.984766	1.705078	1.761328	1.557422
0.035	-4.517578	-3.926953	-1.873828	-3.466406	-3.933984	-4.352344
0.0375	-6.138281	-5.269922	-3.188672	-4.700391	-5.575781	-5.930859
0.04	-2.875781	-1.430859	0.08085938	-1.030078	-1.901953	-1.954688
0.0425	2.548828	4.383984	5.217188	4.471875	4.000781	4.243359
0.045	5.653125	7.351172	7.983984	7.266797	7.249219	7.526953
0.0475	3.835547	4.971094	6.075	5.009766	5.090625	5.122266
0.05	-1.437891	-0.8402344	1.037109	-0.4851563	-0.7523438	-1.051172
0.0525	-5.811328	-5.2875	-2.953125	-4.672266	-5.459766	-5.909766
0.055	-5.695313	-4.739063	-2.619141	-4.109766	-5.178516	-5.487891
0.0575	-1.195313	0.3445313	1.757813	0.7066406	-0.1652344	-0.1546875
0.06	3.99375	5.779688	6.577734	5.818359	5.459766	5.684766
0.0625	5.614453	7.098047	7.882031	7.027734	7.080469	7.224609
0.065	2.327344	3.216797	4.594922	3.339844	3.360938	3.185156
0.0675	-3.142969	-2.661328	-0.5800781	-2.214844	-2.619141	-3.104297
0.07	-6.257813	-5.663672	-3.371484	-5.037891	-5.888672	-6.447656
0.0725	-4.433203	-3.297656	-1.473047	-2.787891	-3.737109	-4.074609
0.075	0.84375	2.503125	3.536719	2.678906	2.102344	2.077734
0.0775	5.252344	6.985547	7.541016	6.876563	6.855469	6.943359
0.08	5.192578	6.472266	7.238672	6.35625	6.630469	6.532031
0.0825	0.7066406	1.388672	2.847656	1.536328	1.624219	1.195313
0.085	-4.44375	-4.011328	-1.996875	-3.582422	-3.965625	-4.626563
0.0875	-5.969531	-5.241797	-3.290625	-4.760156	-5.484375	-6.110156
0.09	-2.601563	-1.276172	0.00703125	-1.023047	-1.655859	-2.010938
0.0925	2.921484	4.661719	5.185547	4.552734	4.415625	4.338281
0.095	6.103125	7.727344	7.980469	7.407422	7.797656	7.751953
0.0975	4.338281	5.414063	6.071484	5.178516	5.726953	5.428125
