Interval=	0.0005 s
ExcelDateTime=	4.5725797222019966e+004	3/9/2025 19:07:59.982525
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-3.311719	-3.434766	-2.960156	-3.132422	-3.564844	-3.76875
0.0005	-2.903906	-2.949609	-2.541797	-2.668359	-3.104297	-3.244922
0.001	-2.133984	-2.070703	-1.775391	-1.835156	-2.25	-2.292188
0.0015	-1.395703	-1.265625	-1.058203	-1.075781	-1.441406	-1.402734
0.002	-0.8542969	-0.6855469	-0.5414063	-0.534375	-0.8472656	-0.7664063
0.0025	-0.3867188	-0.1792969	-0.09140625	-0.05625	-0.3269531	-0.2179688
0.003	0.1300781	0.3691406	0.4007813	0.4570313	0.225	0.3761719
0.0035	0.9527344	1.223438	1.174219	1.262109	1.06875	1.297266
0.004	1.831641	2.126953	1.996875	2.116406	1.975781	2.267578
0.0045	2.337891	2.615625	2.457422	2.576953	2.510156	2.808984
0.005	2.707031	2.963672	2.791406	2.907422	2.896875	3.199219
0.0055	3.09375	3.336328	3.142969	3.2625	3.294141	3.610547
0.006	3.322266	3.522656	3.325781	3.43125	3.505078	3.817969
0.0065	3.473438	3.592969	3.417188	3.494531	3.603516	3.898828
0.007	3.515625	3.550781	3.413672	3.455859	3.592969	3.856641
0.0075	3.392578	3.371484	3.273047	3.283594	3.434766	3.652734
0.008	3.283594	3.220313	3.15	3.142969	3.294141	3.483984
0.0085	3.100781	2.984766	2.960156	2.925	3.076172	3.223828
0.009	2.552344	2.344922	2.404688	2.313281	2.467969	2.534766
0.0095	1.757813	1.448438	1.617188	1.458984	1.596094	1.567969
0.01	1.089844	0.73125	0.9667969	0.7839844	0.8683594	0.7804688
0.0105	0.5800781	0.1828125	0.4710938	0.2671875	0.2988281	0.1757813
0.011	0.1160156	-0.309375	0.02460938	-0.196875	-0.2074219	-0.3621094
0.0115	-0.4816406	-0.9386719	-0.5449219	-0.7910156	-0.8402344	-1.044141
0.012	-1.367578	-1.849219	-1.374609	-1.662891	-1.750781	-2.035547
0.0125	-2.123438	-2.608594	-2.08125	-2.383594	-2.53125	-2.872266
0.013	-2.538281	-3.002344	-2.453906	-2.749219	-2.963672	-3.311719
0.0135	-2.935547	-3.392578	-2.8125	-3.118359	-3.375	-3.730078
0.014	-3.283594	-3.723047	-3.121875	-3.43125	-3.726563	-4.088672
0.0145	-3.455859	-3.839063	-3.251953	-3.536719	-3.870703	-4.21875
0.015	-3.571875	-3.870703	-3.315234	-3.571875	-3.926953	-4.260938
0.0155	-3.540234	-3.765234	-3.248438	-3.473438	-3.849609	-4.155469
0.016	-3.389063	-3.561328	-3.079688	-3.280078	-3.663281	-3.9375
0.0165	-3.273047	-3.399609	-2.953125	-3.135938	-3.512109	-3.765234
0.017	-2.991797	-3.051563	-2.668359	-2.8125	-3.188672	-3.396094
0.0175	-2.302734	-2.260547	-1.986328	-2.063672	-2.436328	-2.548828
0.018	-1.490625	-1.360547	-1.191797	-1.209375	-1.543359	-1.564453
0.0185	-0.8929688	-0.7171875	-0.6117188	-0.6082031	-0.8824219	-0.8578125
0.019	-0.4253906	-0.2074219	-0.1582031	-0.1335938	-0.3515625	-0.2953125
0.0195	0.05273438	0.3023438	0.2953125	0.3480469	0.1652344	0.2636719
0.02	0.7664063	1.044141	0.9703125	1.054688	0.9070313	1.06875
0.0205	1.673438	1.982813	1.831641	1.947656	1.845703	2.084766
0.021	2.295703	2.594531	2.411719	2.527734	2.496094	2.75625
0.0215	2.675391	2.949609	2.752734	2.858203	2.886328	3.146484
0.022	3.086719	3.350391	3.121875	3.237891	3.304688	3.578906
0.0225	3.360938	3.6	3.360938	3.469922	3.575391	3.849609
0.023	3.515625	3.684375	3.466406	3.550781	3.694922	3.951563
0.0235	3.614063	3.701953	3.519141	3.571875	3.740625	3.976172
0.024	3.522656	3.54375	3.403125	3.424219	3.603516	3.803906
0.0245	3.375	3.353906	3.244922	3.241406	3.420703	3.585938
0.025	3.2625	3.199219	3.118359	3.097266	3.273047	3.406641
0.0255	2.86875	2.728125	2.710547	2.647266	2.830078	2.896875
0.026	2.091797	1.849219	1.944141	1.814063	1.982813	1.951172
0.0265	1.342969	1.030078	1.219922	1.047656	1.167188	1.061719
0.027	0.7839844	0.4324219	0.6925781	0.4921875	0.5589844	0.4148438
0.0275	0.3023438	-0.08789063	0.225	0.003515625	0.028125	-0.1441406
0.028	-0.2320313	-0.646875	-0.2777344	-0.5238281	-0.5308594	-0.7523438
0.0285	-1.047656	-1.494141	-1.047656	-1.328906	-1.371094	-1.669922
0.029	-1.908984	-2.369531	-1.852734	-2.165625	-2.264063	-2.626172
0.0295	-2.411719	-2.858203	-2.313281	-2.619141	-2.787891	-3.160547
0.03	-2.791406	-3.227344	-2.654297	-2.963672	-3.188672	-3.557813
0.0305	-3.174609	-3.6	-3.002344	-3.31875	-3.585938	-3.958594
0.031	-3.392578	-3.772266	-3.178125	-3.480469	-3.789844	-4.151953
0.0315	-3.540234	-3.842578	-3.276563	-3.550781	-3.888281	-4.239844
0.032	-3.564844	-3.789844	-3.266016	-3.501563	-3.867188	-4.197656
0.0325	-3.410156	-3.575391	-3.09375	-3.301172	-3.684375	-3.972656
0.033	-3.294141	-3.413672	-2.949609	-3.15	-3.529688	-3.793359
0.0335	-3.114844	-3.188672	-2.759766	-2.932031	-3.315234	-3.547266
0.034	-2.562891	-2.545313	-2.204297	-2.320313	-2.703516	-2.854688
0.0345	-1.757813	-1.634766	-1.399219	-1.455469	-1.821094	-1.866797
0.035	-1.093359	-0.9175781	-0.759375	-0.7839844	-1.093359	-1.082813
0.0355	-0.5976563	-0.3902344	-0.2882813	-0.2847656	-0.5484375	-0.5027344
0.036	-0.1441406	0.1019531	0.1582031	0.1792969	-0.03867188	0.03867188
0.0365	0.4640625	0.7347656	0.7347656	0.7804688	0.5941406	0.7347656
