Interval=	0.0025 s
ExcelDateTime=	4.5725794244633187e+004	3/9/2025 19:03:42.736307
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-4.507031	-5.080078	-4.021875	-4.394531	-5.164453	-5.445703
0.0025	-4.507031	-5.080078	-4.021875	-4.394531	-5.164453	-5.445703
0.005	-4.507031	-5.080078	-4.021875	-4.394531	-5.164453	-5.445703
0.0075	-4.510547	-5.087109	-4.025391	-4.398047	-5.167969	-5.449219
0.01	-3.944531	-4.229297	-3.339844	-3.582422	-4.440234	-4.552734
0.0125	-0.6996094	-0.675	-0.1722656	-0.2179688	-0.8929688	-0.6890625
0.015	2.626172	2.675391	2.917969	2.960156	2.598047	2.984766
0.0175	3.304688	3.065625	3.378516	3.31875	3.142969	3.417188
0.02	0.871875	0.2566406	0.9175781	0.6433594	0.3761719	0.3515625
0.0225	-2.605078	-3.392578	-2.369531	-2.801953	-3.357422	-3.631641
0.025	-4.1625	-4.78125	-3.698438	-4.099219	-4.900781	-5.167969
0.0275	-2.453906	-2.724609	-1.930078	-2.148047	-2.932031	-2.960156
0.03	1.163672	1.128516	1.529297	1.497656	0.9738281	1.219922
0.0325	3.789844	3.684375	3.923438	3.923438	3.687891	4.011328
0.035	3.31875	2.879297	3.325781	3.174609	3.041016	3.171094
0.0375	0.1617188	-0.5941406	0.2460938	-0.1089844	-0.4148438	-0.5871094
0.04	-3.0375	-3.828516	-2.738672	-3.192188	-3.782813	-4.127344
0.0425	-3.596484	-4.130859	-3.135938	-3.498047	-4.239844	-4.496484
0.045	-1.030078	-1.226953	-0.6117188	-0.7628906	-1.385156	-1.374609
0.0475	2.562891	2.524219	2.773828	2.766797	2.443359	2.678906
0.05	4.253906	4.05	4.250391	4.208203	4.134375	4.352344
0.0525	2.664844	2.109375	2.612109	2.380078	2.327344	2.285156
0.055	-0.8542969	-1.648828	-0.7523438	-1.170703	-1.444922	-1.782422
0.0575	-3.367969	-4.088672	-3.044531	-3.491016	-4.032422	-4.468359
0.06	-2.805469	-3.199219	-2.369531	-2.664844	-3.283594	-3.54375
0.0625	0.3726563	0.2917969	0.7171875	0.6257813	0.196875	0.2425781
0.065	3.547266	3.519141	3.666797	3.666797	3.540234	3.775781
0.0675	4.120313	3.828516	4.053516	3.958594	4.004297	4.155469
0.07	1.613672	0.95625	1.543359	1.230469	1.202344	1.06875
0.0725	-1.919531	-2.735156	-1.807031	-2.278125	-2.576953	-2.953125
0.075	-3.589453	-4.239844	-3.251953	-3.694922	-4.236328	-4.601953
0.0775	-2.049609	-2.358984	-1.634766	-1.905469	-2.450391	-2.566406
0.08	1.378125	1.297266	1.655859	1.553906	1.241016	1.413281
0.0825	3.832031	3.680859	3.895313	3.810938	3.754688	4.025391
0.085	3.255469	2.777344	3.213281	2.977734	2.977734	3.076172
0.0875	0.0703125	-0.73125	0.1195313	-0.3128906	-0.5203125	-0.7171875
0.09	-3.121875	-3.986719	-2.847656	-3.367969	-3.895313	-4.267969
0.0925	-3.7125	-4.324219	-3.2625	-3.694922	-4.398047	-4.679297
0.095	-1.258594	-1.525781	-0.8261719	-1.06875	-1.680469	-1.666406
0.0975	2.179688	2.056641	2.422266	2.316797	1.986328	2.239453
0.1	3.76875	3.466406	3.793359	3.642188	3.557813	3.803906
0.1025	2.190234	1.525781	2.116406	1.782422	1.708594	1.698047
0.105	-1.297266	-2.211328	-1.248047	-1.750781	-2.070703	-2.366016
0.1075	-3.832031	-4.675781	-3.54375	-4.067578	-4.675781	-5.069531
0.11	-3.332813	-3.842578	-2.907422	-3.287109	-3.969141	-4.197656
0.1125	-0.2355469	-0.4253906	0.1160156	-0.05273438	-0.5449219	-0.4921875
0.115	2.893359	2.745703	3.023438	2.949609	2.763281	2.967188
0.1175	3.508594	3.09375	3.424219	3.255469	3.258984	3.346875
0.12	1.100391	0.3375	0.9878906	0.6257813	0.5554688	0.3375
0.1225	-2.330859	-3.230859	-2.274609	-2.770313	-3.09375	-3.564844
0.125	-3.902344	-4.619531	-3.649219	-4.10625	-4.630078	-5.108203
0.1275	-2.285156	-2.640234	-2.000391	-2.257031	-2.745703	-2.995313
0.13	1.195313	1.086328	1.318359	1.248047	1.026563	1.051172
0.1325	3.705469	3.540234	3.589453	3.554297	3.642188	3.740625
