Interval=	0.001 s
ExcelDateTime=	4.5725813395039331e+004	3/9/2025 19:31:17.331398
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-2.007422	-1.824609	-2.151563	-1.958203	-1.585547	-2.323828
0.001	-2.007422	-1.824609	-2.151563	-1.958203	-1.589063	-2.323828
0.002	-2.130469	-1.859766	-2.218359	-1.986328	-1.666406	-2.3625
0.003	-1.944141	-1.564453	-1.982813	-1.701563	-1.423828	-2.046094
0.004	-1.142578	-0.6609375	-1.191797	-0.8332031	-0.5730469	-1.072266
0.005	0.05625	0.646875	-0.03164063	0.4042969	0.6925781	0.3445313
0.006	1.198828	1.859766	1.051172	1.546875	1.905469	1.673438
0.007	2.460938	3.15	2.221875	2.759766	3.209766	3.079688
0.008	3.642188	4.33125	3.311719	3.874219	4.419141	4.373438
0.009	4.306641	4.95	3.919922	4.464844	5.090625	5.073047
0.01	4.538672	5.087109	4.102734	4.598438	5.283984	5.255859
0.011	4.433203	4.872656	3.955078	4.405078	5.115234	5.037891
0.012	3.810938	4.155469	3.339844	3.723047	4.436719	4.267969
0.013	2.626172	2.854688	2.200781	2.489063	3.167578	2.872266
0.014	1.374609	1.515234	1.008984	1.230469	1.828125	1.423828
0.015	0.09492188	0.1898438	-0.1828125	-0.0140625	0.4851563	-0.01054688
0.016	-1.2375	-1.160156	-1.409766	-1.286719	-0.8859375	-1.476563
0.017	-2.1375	-2.046094	-2.225391	-2.112891	-1.821094	-2.432813
0.018	-2.545313	-2.390625	-2.555859	-2.425781	-2.225391	-2.801953
0.019	-2.612109	-2.3625	-2.555859	-2.387109	-2.246484	-2.773828
0.02	-2.253516	-1.905469	-2.165625	-1.944141	-1.838672	-2.281641
0.021	-1.279688	-0.8191406	-1.205859	-0.9035156	-0.7980469	-1.103906
0.022	-0.08085938	0.4746094	-0.04921875	0.3234375	0.4746094	0.309375
0.023	1.06875	1.673438	1.040625	1.458984	1.680469	1.624219
0.024	2.366016	2.98125	2.25	2.703516	3.002344	3.058594
0.025	3.392578	3.99375	3.192188	3.659766	4.05	4.169531
0.026	3.898828	4.436719	3.631641	4.078125	4.538672	4.665234
0.027	4.028906	4.461328	3.701953	4.099219	4.608984	4.703906
0.028	3.779297	4.109766	3.427734	3.765234	4.303125	4.341797
0.029	2.939063	3.157031	2.612109	2.86875	3.389063	3.325781
0.03	1.676953	1.782422	1.40625	1.578516	2.035547	1.835156
0.031	0.4675781	0.4992188	0.2636719	0.3726563	0.7382813	0.4359375
0.032	-0.8472656	-0.8578125	-0.9492188	-0.9	-0.6363281	-1.030078
0.033	-2.088281	-2.105859	-2.077734	-2.063672	-1.916016	-2.376563
0.034	-2.798438	-2.784375	-2.703516	-2.689453	-2.650781	-3.121875
0.035	-3.079688	-2.98125	-2.907422	-2.865234	-2.900391	-3.346875
0.036	-3.016406	-2.830078	-2.798438	-2.714063	-2.794922	-3.178125
0.037	-2.439844	-2.155078	-2.218359	-2.074219	-2.172656	-2.450391
0.038	-1.304297	-0.9105469	-1.114453	-0.8894531	-0.9632813	-1.100391
0.039	-0.1230469	0.3515625	0.01757813	0.3023438	0.2917969	0.2671875
0.04	1.096875	1.610156	1.160156	1.487109	1.553906	1.634766
0.041	2.397656	2.914453	2.358984	2.721094	2.872266	3.062109
0.042	3.237891	3.726563	3.132422	3.491016	3.730078	3.958594
0.043	3.571875	3.979688	3.406641	3.730078	4.042969	4.246875
0.044	3.589453	3.891797	3.382031	3.652734	4.000781	4.158984
0.045	3.202734	3.399609	2.977734	3.188672	3.54375	3.624609
0.046	2.204297	2.278125	2.000391	2.123438	2.460938	2.408203
0.047	0.9632813	0.9351563	0.8121094	0.8578125	1.128516	0.9527344
