Interval=	0.0025 s
ExcelDateTime=	4.5725773937785671e+004	3/9/2025 18:34:28.224682
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-4.088672	-3.343359	-2.053125	-3.097266	-3.557813	-3.765234
0.0025	-4.088672	-3.343359	-2.053125	-3.097266	-3.557813	-3.765234
0.005	-4.088672	-3.343359	-2.053125	-3.097266	-3.557813	-3.765234
0.0075	-4.092188	-3.346875	-2.053125	-3.100781	-3.561328	-3.76875
0.01	0.4640625	1.610156	2.302734	1.603125	1.423828	1.575
0.0125	4.243359	5.407031	5.762109	5.196094	5.431641	5.7375
0.015	3.912891	4.675781	5.280469	4.507031	4.932422	5.044922
0.0175	-0.1792969	0.1089844	1.332422	0.1898438	0.4289063	0.16875
0.02	-4.689844	-4.563281	-2.854688	-4.232813	-4.401563	-4.914844
0.0225	-5.888672	-5.480859	-3.810938	-5.104688	-5.575781	-6.011719
0.025	-2.816016	-1.916016	-0.7628906	-1.715625	-2.151563	-2.242969
0.0275	1.996875	3.195703	3.782813	3.135938	3.051563	3.283594
0.03	4.594922	5.649609	6.096094	5.466797	5.748047	6.022266
0.0325	2.805469	3.385547	4.243359	3.325781	3.684375	3.673828
0.035	-1.940625	-1.775391	-0.2847656	-1.557422	-1.490625	-1.873828
0.0375	-5.712891	-5.561719	-3.730078	-5.139844	-5.494922	-6.032813
0.04	-5.396484	-4.862109	-3.244922	-4.461328	-5.030859	-5.371875
0.0425	-1.265625	-0.2636719	0.7628906	-0.08085938	-0.4851563	-0.4394531
0.045	3.297656	4.471875	5.027344	4.408594	4.422656	4.725
0.0475	4.55625	5.452734	6.053906	5.336719	5.663672	5.888672
0.05	1.437891	1.838672	2.98125	1.908984	2.186719	2.056641
0.0525	-3.469922	-3.375	-1.655859	-3.048047	-3.146484	-3.610547
0.055	-6.103125	-5.871094	-4.000781	-5.424609	-5.913281	-6.416016
0.0575	-4.292578	-3.589453	-2.123438	-3.255469	-3.839063	-4.046484
0.06	0.4886719	1.603125	2.446875	1.680469	1.378125	1.550391
0.0625	4.320703	5.463281	5.966016	5.347266	5.466797	5.79375
0.065	4.053516	4.802344	5.540625	4.725	5.051953	5.182031
0.0675	-0.1195313	0.1441406	1.494141	0.309375	0.4535156	0.2074219
0.07	-4.742578	-4.654688	-2.826563	-4.246875	-4.5	-5.020313
0.0725	-5.997656	-5.635547	-3.863672	-5.182031	-5.7375	-6.1875
0.075	-2.851172	-1.993359	-0.7628906	-1.715625	-2.235938	-2.330859
0.0775	2.1375	3.308203	3.926953	3.308203	3.15	3.392578
0.08	4.872656	5.909766	6.35625	5.772656	6.011719	6.285938
0.0825	3.083203	3.645703	4.503516	3.631641	3.958594	3.955078
0.085	-1.764844	-1.63125	-0.1160156	-1.360547	-1.328906	-1.705078
0.0875	-5.660156	-5.544141	-3.684375	-5.073047	-5.470313	-6.008203
0.09	-5.389453	-4.886719	-3.255469	-4.450781	-5.055469	-5.407031
0.0925	-1.188281	-0.2003906	0.8121094	0	-0.4394531	-0.39375
0.095	3.483984	4.661719	5.171484	4.608984	4.587891	4.900781
0.0975	4.805859	5.709375	6.247266	5.596875	5.902734	6.134766
0.1	1.662891	2.067188	3.135938	2.126953	2.408203	2.281641
0.1025	-3.353906	-3.258984	-1.603125	-2.932031	-3.023438	-3.494531
0.105	-6.089063	-5.853516	-4.032422	-5.396484	-5.892188	-6.4125
0.1075	-4.267969	-3.561328	-2.148047	-3.216797	-3.817969	-4.05
0.11	0.6046875	1.736719	2.492578	1.803516	1.487109	1.638281
0.1125	4.535156	5.695313	6.085547	5.551172	5.660156	5.969531
0.115	4.299609	5.069531	5.677734	4.95	5.2875	5.407031
0.1175	0.05976563	0.3445313	1.564453	0.4535156	0.6398438	0.3726563
0.12	-4.693359	-4.587891	-2.872266	-4.232813	-4.464844	-4.995703
0.1225	-6.043359	-5.663672	-3.979688	-5.252344	-5.811328	-6.261328
0.125	-2.889844	-2.010938	-0.8542969	-1.768359	-2.285156	-2.380078
0.1275	2.165625	3.360938	3.905859	3.329297	3.192188	3.445313
0.13	4.978125	6.046875	6.4125	5.860547	6.141797	6.433594
0.1325	3.223828	3.817969	4.580859	3.726563	4.113281	4.120313
0.135	-1.669922	-1.501172	-0.09140625	-1.332422	-1.241016	-1.606641
0.1375	-5.639063	-5.491406	-3.716016	-5.115234	-5.470313	-5.997656
0.14	-5.392969	-4.851563	-3.280078	-4.489453	-5.080078	-5.414063
0.1425	-1.132031	-0.1019531	0.8613281	0.03515625	-0.3867188	-0.3269531
0.145	3.645703	4.876172	5.34375	4.763672	4.767188	5.090625
0.1475	5.030859	6.001172	6.496875	5.818359	6.152344	6.398438
0.15	1.859766	2.327344	3.367969	2.320313	2.605078	2.503125
0.1525	-3.258984	-3.111328	-1.444922	-2.837109	-2.932031	-3.378516
0.155	-6.078516	-5.807813	-3.955078	-5.392969	-5.878125	-6.384375
0.1575	-4.282031	-3.540234	-2.098828	-3.251953	-3.821484	-4.042969
0.16	0.6222656	1.8	2.594531	1.814063	1.532813	1.698047
0.1625	4.601953	5.814844	6.268359	5.632031	5.783203	6.113672
0.165	4.398047	5.224219	5.909766	5.069531	5.435156	5.589844
0.1675	0.1441406	0.4816406	1.792969	0.5554688	0.7558594	0.5167969
0.17	-4.654688	-4.507031	-2.678906	-4.183594	-4.405078	-4.921875
0.1725	-6.029297	-5.603906	-3.786328	-5.220703	-5.779688	-6.226172
0.175	-2.847656	-1.919531	-0.61875	-1.701563	-2.235938	-2.323828
0.1775	2.25	3.501563	4.211719	3.459375	3.297656	3.550781
0.18	5.090625	6.222656	6.760547	6.039844	6.278906	6.58125
0.1825	3.325781	3.990234	4.928906	3.916406	4.250391	4.275
0.185	-1.606641	-1.378125	0.2144531	-1.18125	-1.135547	-1.494141
0.1875	-5.628516	-5.435156	-3.473438	-5.027344	-5.417578	-5.955469
0.19	-5.431641	-4.855078	-3.104297	-4.461328	-5.087109	-5.435156
0.1925	-1.198828	-0.1335938	0.9949219	0.028125	-0.4394531	-0.3867188
0.195	3.578906	4.830469	5.445703	4.746094	4.696875	5.016797
0.1975	4.974609	5.944922	6.574219	5.800781	6.085547	6.331641
0.2	1.803516	2.264063	3.427734	2.299219	2.559375	2.443359
0.2025	-3.31875	-3.181641	-1.420313	-2.86875	-2.988281	-3.452344
0.205	-6.148828	-5.892188	-3.965625	-5.435156	-5.9625	-6.486328
0.2075	-4.355859	-3.642188	-2.119922	-3.290625	-3.919922	-4.155469
0.21	0.5484375	1.691016	2.559375	1.785938	1.441406	1.603125
0.2125	4.55625	5.733984	6.226172	5.621484	5.723438	6.060938
0.215	4.391016	5.182031	5.871094	5.087109	5.424609	5.56875
0.2175	0.1546875	0.4605469	1.74375	0.5941406	0.7664063	0.5167969
0.22	-4.658203	-4.535156	-2.75625	-4.158984	-4.405078	-4.932422
0.2225	-6.039844	-5.646094	-3.902344	-5.217188	-5.797266	-6.261328
0.225	-2.86875	-1.979297	-0.7804688	-1.733203	-2.281641	-2.383594
0.2275	2.211328	3.420703	4.004297	3.392578	3.230859	3.476953
0.23	5.044922	6.138281	6.525	5.966016	6.222656	6.514453
0.2325	3.294141	3.912891	4.682813	3.849609	4.208203	4.211719
0.235	-1.641797	-1.451953	-0.04570313	-1.248047	-1.170703	-1.557422
0.2375	-5.670703	-5.516016	-3.758203	-5.108203	-5.463281	-6.022266
0.24	-5.470313	-4.935938	-3.410156	-4.55625	-5.136328	-5.501953
0.2425	-1.241016	-0.2109375	0.6820313	-0.06679688	-0.4816406	-0.4464844
0.245	3.536719	4.763672	5.146875	4.661719	4.679297	4.985156
0.2475	4.953516	5.913281	6.317578	5.755078	6.106641	6.345703
0.25	1.814063	2.267578	3.213281	2.292188	2.598047	2.496094
0.2525	-3.283594	-3.157031	-1.599609	-2.865234	-2.942578	-3.378516
0.255	-6.113672	-5.871094	-4.137891	-5.45625	-5.927344	-6.416016
0.2575	-4.348828	-3.645703	-2.313281	-3.336328	-3.902344	-4.109766
0.26	0.5378906	1.680469	2.373047	1.733203	1.444922	1.63125
0.2625	4.549219	5.7375	6.078516	5.593359	5.741016	6.092578
0.265	4.383984	5.199609	5.751563	5.073047	5.449219	5.621484
0.2675	0.140625	0.4710938	1.645313	0.5695313	0.7769531	0.5625
0.27	-4.66875	-4.531641	-2.844141	-4.190625	-4.408594	-4.900781
0.2725	-6.057422	-5.667188	-4.000781	-5.269922	-5.814844	-6.24375
0.275	-2.907422	-2.010938	-0.8929688	-1.8	-2.30625	-2.369531
0.2775	2.179688	3.413672	3.912891	3.353906	3.223828	3.508594
0.28	5.037891	6.166406	6.479297	5.973047	6.250781	6.58125
0.2825	3.315234	3.976172	4.675781	3.884766	4.275	4.317188
0.285	-1.592578	-1.364063	-0.02460938	-1.198828	-1.086328	-1.434375
0.2875	-5.628516	-5.428125	-3.723047	-5.0625	-5.392969	-5.913281
