Interval=	0.00025 s
ExcelDateTime=	4.5725784083831131e+004	3/9/2025 18:49:04.843009
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	6.514453	6.858984	6.015234	6.626953	7.249219	7.435547
0.00025	6.387891	6.697266	5.888672	6.475781	7.105078	7.259766
0.0005	6.328125	6.609375	5.821875	6.398438	7.024219	7.161328
0.00075	6.289453	6.546094	5.772656	6.345703	6.967969	7.091016
0.001	6.208594	6.426563	5.674219	6.233203	6.858984	6.964453
0.00125	6.029297	6.222656	5.487891	6.029297	6.665625	6.746484
0.0015	5.709375	5.85	5.167969	5.670703	6.321094	6.370313
0.00175	5.136328	5.160938	4.594922	5.013281	5.68125	5.674219
0.002	4.334766	4.250391	3.817969	4.144922	4.812891	4.728516
0.00225	3.596484	3.455859	3.118359	3.392578	4.028906	3.874219
0.0025	3.069141	2.886328	2.626172	2.861719	3.434766	3.244922
0.00275	2.657813	2.460938	2.239453	2.457422	2.98125	2.763281
0.003	2.228906	2.007422	1.824609	2.025	2.517188	2.274609
0.00325	1.757813	1.490625	1.371094	1.529297	1.986328	1.715625
0.0035	1.325391	1.016016	0.95625	1.079297	1.480078	1.188281
0.00375	0.8824219	0.5203125	0.5238281	0.6117188	0.9738281	0.6539063
0.004	0.5273438	0.1582031	0.1933594	0.2707031	0.5871094	0.2460938
0.00425	0.07734375	-0.2882813	-0.2074219	-0.1582031	0.1195313	-0.2425781
0.0045	-0.8859375	-1.335938	-1.117969	-1.163672	-0.8859375	-1.321875
0.00475	-1.831641	-2.341406	-2.007422	-2.126953	-1.887891	-2.390625
0.005	-2.506641	-3.030469	-2.636719	-2.784375	-2.608594	-3.153516
0.00525	-3.100781	-3.631641	-3.185156	-3.353906	-3.248438	-3.821484
0.0055	-3.378516	-3.884766	-3.43125	-3.585938	-3.561328	-4.134375
0.00575	-3.603516	-4.088672	-3.631641	-3.779297	-3.814453	-4.376953
0.006	-3.979688	-4.471875	-3.983203	-4.148438	-4.21875	-4.798828
0.00625	-4.422656	-4.942969	-4.398047	-4.591406	-4.696875	-5.301563
0.0065	-4.914844	-5.45625	-4.858594	-5.080078	-5.220703	-5.842969
0.00675	-5.136328	-5.653125	-5.055469	-5.266406	-5.470313	-6.082031
0.007	-5.111719	-5.593359	-5.020313	-5.203125	-5.459766	-6.046875
0.00725	-5.266406	-5.726953	-5.146875	-5.329688	-5.607422	-6.1875
0.0075	-5.523047	-5.941406	-5.357813	-5.533594	-5.839453	-6.423047
0.00775	-5.702344	-6.067969	-5.491406	-5.656641	-5.983594	-6.574219
0.008	-5.741016	-6.064453	-5.508984	-5.653125	-6.011719	-6.588281
0.00825	-5.600391	-5.888672	-5.361328	-5.477344	-5.874609	-6.4125
0.0085	-5.445703	-5.702344	-5.199609	-5.294531	-5.716406	-6.219141
0.00875	-5.392969	-5.621484	-5.136328	-5.217188	-5.646094	-6.13125
0.009	-5.354297	-5.551172	-5.083594	-5.150391	-5.586328	-6.057422
0.00925	-5.266406	-5.428125	-4.988672	-5.037891	-5.477344	-5.937891
0.0095	-5.115234	-5.245313	-4.833984	-4.865625	-5.312109	-5.748047
0.00975	-4.858594	-4.953516	-4.580859	-4.580859	-5.041406	-5.442188
0.01	-4.391016	-4.391016	-4.113281	-4.039453	-4.517578	-4.869141
0.01025	-3.628125	-3.501563	-3.360938	-3.185156	-3.677344	-3.951563
0.0105	-2.823047	-2.622656	-2.591016	-2.348438	-2.819531	-3.016406
0.01075	-2.246484	-2.000391	-2.039063	-1.757813	-2.186719	-2.334375
0.011	-1.810547	-1.536328	-1.63125	-1.318359	-1.705078	-1.817578
0.01125	-1.385156	-1.093359	-1.2375	-0.9070313	-1.248047	-1.332422
0.0115	-0.9386719	-0.6117188	-0.8121094	-0.4535156	-0.7523438	-0.8121094
0.01175	-0.5167969	-0.1511719	-0.4042969	-0.01757813	-0.2742188	-0.309375
0.012	-0.08085938	0.3304688	0.01054688	0.4429688	0.2214844	0.2109375
0.01225	0.309375	0.7558594	0.3867188	0.8367188	0.6679688	0.675
0.0125	0.6644531	1.103906	0.7136719	1.167188	1.047656	1.065234
0.01275	1.466016	1.961719	1.473047	1.996875	1.887891	1.965234
0.013	2.475	3.051563	2.429297	3.041016	2.956641	3.111328
0.01325	3.220313	3.825	3.118359	3.775781	3.754688	3.958594
0.0135	3.867188	4.482422	3.7125	4.394531	4.44375	4.682813
0.01375	4.243359	4.833984	4.05	4.717969	4.848047	5.097656
0.014	4.436719	5.009766	4.222266	4.879688	5.076563	5.319141
0.01425	4.770703	5.354297	4.531641	5.206641	5.449219	5.698828
0.0145	5.185547	5.790234	4.918359	5.625	5.90625	6.162891
0.01475	5.688281	6.307031	5.385938	6.120703	6.437109	6.711328
0.015	6.036328	6.6375	5.702344	6.433594	6.802734	7.0875
0.01525	6.053906	6.612891	5.702344	6.401953	6.830859	7.101563
0.0155	6.117188	6.658594	5.751563	6.440625	6.904688	7.161328
0.01575	6.338672	6.851953	5.941406	6.626953	7.112109	7.372266
0.016	6.535547	6.996094	6.096094	6.767578	7.280859	7.541016
0.01625	6.662109	7.080469	6.1875	6.844922	7.386328	7.642969
0.0165	6.588281	6.967969	6.106641	6.732422	7.305469	7.5375
0.01675	6.398438	6.739453	5.920313	6.510938	7.101563	7.294922
0.017	6.285938	6.591797	5.79375	6.370313	6.967969	7.129688
0.01725	6.254297	6.535547	5.744531	6.317578	6.915234	7.059375
0.0175	6.201563	6.454688	5.677734	6.240234	6.837891	6.975
0.01775	6.060938	6.278906	5.537109	6.075	6.679688	6.788672
0.018	5.821875	6.011719	5.308594	5.818359	6.433594	6.510938
0.01825	5.435156	5.554688	4.925391	5.382422	6.011719	6.057422
0.0185	4.753125	4.742578	4.250391	4.605469	5.252344	5.238281
0.01875	3.891797	3.779297	3.420703	3.691406	4.327734	4.229297
0.019	3.209766	3.048047	2.780859	3.005859	3.589453	3.43125
0.01925	2.728125	2.534766	2.330859	2.53125	3.055078	2.861719
0.0195	2.281641	2.070703	1.916016	2.098828	2.580469	2.355469
0.01975	1.803516	1.557422	1.469531	1.617188	2.060156	1.807031
0.02	1.346484	1.058203	1.030078	1.146094	1.539844	1.265625
0.02025	0.9070313	0.5765625	0.6046875	0.6820313	1.040625	0.7453125
0.0205	0.4605469	0.09492188	0.1722656	0.225	0.5414063	0.2214844
0.02075	0.1230469	-0.2390625	-0.1335938	-0.09140625	0.1722656	-0.1582031
0.021	-0.4886719	-0.8859375	-0.7066406	-0.7136719	-0.4605469	-0.8402344
0.02125	-1.532813	-2.017969	-1.708594	-1.810547	-1.560938	-2.017969
0.0215	-2.387109	-2.914453	-2.510156	-2.668359	-2.478516	-2.991797
0.02175	-3.058594	-3.603516	-3.135938	-3.322266	-3.20625	-3.758203
0.022	-3.571875	-4.10625	-3.610547	-3.803906	-3.765234	-4.33125
0.02225	-3.796875	-4.296094	-3.814453	-3.983203	-4.028906	-4.584375
0.0225	-4.067578	-4.566797	-4.060547	-4.236328	-4.334766	-4.89375
0.02275	-4.475391	-5.002734	-4.440234	-4.647656	-4.78125	-5.361328
0.023	-4.985156	-5.533594	-4.921875	-5.164453	-5.333203	-5.930859
0.02325	-5.431641	-5.973047	-5.336719	-5.593359	-5.807813	-6.423047
0.0235	-5.508984	-6.011719	-5.392969	-5.625	-5.90625	-6.503906
0.02375	-5.516016	-5.987109	-5.378906	-5.593359	-5.920313	-6.500391
0.024	-5.748047	-6.194531	-5.575781	-5.79375	-6.145313	-6.728906
0.02425	-5.980078	-6.384375	-5.772656	-5.973047	-6.35625	-6.943359
0.0245	-6.13125	-6.486328	-5.888672	-6.067969	-6.489844	-7.062891
0.02475	-6.127734	-6.440625	-5.867578	-6.025781	-6.482813	-7.034766
0.025	-5.969531	-6.240234	-5.705859	-5.835938	-6.314063	-6.841406
