Interval=	0.0005 s
ExcelDateTime=	4.5725805087146749e+004	3/9/2025 19:19:19.529479
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	10.11445	10.84219	9.298828	10.06172	10.98633	11.38008
0.0005	10.69805	11.38711	9.805078	10.57148	11.5875	11.97773
0.001	10.87031	11.51367	9.942188	10.68047	11.79141	12.14648
0.0015	10.69805	11.3168	9.769922	10.47305	11.6543	11.94609
0.002	10.62422	11.22539	9.689063	10.37461	11.60859	11.85117
0.0025	10.16016	10.69453	9.232031	9.861328	11.15508	11.31328
0.003	8.813672	9.221484	7.941797	8.444531	9.780469	9.776953
0.0035	7.182422	7.491797	6.405469	6.788672	8.103516	7.924219
0.004	5.930859	6.198047	5.23125	5.554688	6.781641	6.496875
0.0045	4.95	5.178516	4.306641	4.587891	5.726953	5.375391
0.005	3.976172	4.166016	3.389063	3.624609	4.696875	4.267969
0.0055	2.380078	2.517188	1.9125	2.042578	3.069141	2.513672
0.006	0.2882813	0.3621094	-0.01757813	-0.01757813	0.9316406	0.2074219
0.0065	-1.167188	-1.110938	-1.367578	-1.413281	-0.5976563	-1.413281
0.007	-2.084766	-2.025	-2.211328	-2.274609	-1.589063	-2.429297
0.0075	-3.062109	-3.019922	-3.118359	-3.216797	-2.633203	-3.512109
0.008	-3.761719	-3.705469	-3.761719	-3.870703	-3.389063	-4.282031
0.0085	-4.303125	-4.197656	-4.236328	-4.341797	-3.944531	-4.8375
0.009	-4.767188	-4.598438	-4.633594	-4.721484	-4.398047	-5.294531
0.0095	-4.703906	-4.475391	-4.563281	-4.594922	-4.348828	-5.199609
0.01	-4.489453	-4.229297	-4.366406	-4.352344	-4.155469	-4.935938
0.0105	-4.327734	-4.028906	-4.208203	-4.166016	-3.990234	-4.721484
0.011	-3.540234	-3.142969	-3.459375	-3.31875	-3.181641	-3.810938
0.0115	-1.933594	-1.392188	-1.947656	-1.652344	-1.529297	-1.975781
0.012	-0.3199219	0.309375	-0.4394531	-0.03164063	0.1546875	-0.1335938
0.0125	0.8859375	1.567969	0.6820313	1.153125	1.444922	1.244531
0.013	1.908984	2.647266	1.641797	2.176172	2.562891	2.429297
0.0135	3.132422	3.926953	2.780859	3.396094	3.863672	3.807422
0.014	5.101172	5.973047	4.598438	5.350781	5.885156	5.987109
0.0145	7.182422	8.121094	6.514453	7.386328	8.047266	8.300391
0.015	8.441016	9.383203	7.664063	8.571094	9.404297	9.713672
0.0155	9.411328	10.35703	8.546484	9.488672	10.45547	10.79297
0.016	10.40625	11.36953	9.453516	10.44492	11.52773	11.90039
0.0165	11.07422	12.03047	10.0582	11.05664	12.26602	12.64219
0.017	11.66133	12.58242	10.56797	11.56641	12.88125	13.24688
0.0175	11.9707	12.84258	10.83164	11.80898	13.22578	13.55625
0.018	11.79492	12.61406	10.65234	11.5875	13.0957	13.35234
0.0185	11.63672	12.42422	10.48359	11.39766	12.95156	13.15547
0.019	11.33438	12.0832	10.17422	11.04961	12.63516	12.79336
0.0195	10.21992	10.85977	9.108984	9.861328	11.49258	11.51016
0.02	8.55	9.070313	7.533984	8.145703	9.773438	9.601172
0.0205	7.136719	7.600781	6.205078	6.742969	8.300391	7.994531
0.021	6.050391	6.479297	5.185547	5.674219	7.14375	6.757031
0.0215	5.073047	5.45625	4.257422	4.700391	6.085547	5.639063
0.022	3.684375	4.014844	2.967188	3.325781	4.651172	4.099219
0.0225	1.550391	1.807031	0.9914063	1.212891	2.475	1.750781
0.023	-0.2882813	-0.07382813	-0.7101563	-0.5730469	0.5554688	-0.2953125
0.0235	-1.328906	-1.107422	-1.655859	-1.539844	-0.5589844	-1.448438
0.024	-2.323828	-2.112891	-2.569922	-2.492578	-1.620703	-2.545313
0.0245	-3.213281	-3.002344	-3.389063	-3.343359	-2.576953	-3.529688
0.025	-3.821484	-3.578906	-3.933984	-3.888281	-3.227344	-4.180078
