Interval=	0.0025 s
ExcelDateTime=	4.5725802967984797e+004	3/9/2025 19:16:16.433886
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	5.220703	5.684766	4.992188	5.115234	5.839453	5.603906
0.0025	5.220703	5.684766	4.992188	5.115234	5.839453	5.603906
0.005	5.220703	5.684766	4.992188	5.115234	5.839453	5.603906
0.0075	5.224219	5.691797	4.995703	5.11875	5.842969	5.607422
0.01	4.134375	4.348828	3.867188	3.849609	4.6125	4.180078
0.0125	0.9703125	0.9914063	0.8613281	0.6820313	1.265625	0.5519531
0.015	-1.655859	-1.592578	-1.536328	-1.747266	-1.416797	-2.242969
0.0175	-1.599609	-1.290234	-1.374609	-1.458984	-1.2375	-1.919531
0.02	0.95625	1.511719	1.093359	1.195313	1.51875	1.142578
0.0225	3.828516	4.426172	3.779297	3.958594	4.507031	4.352344
0.025	4.584375	4.978125	4.398047	4.492969	5.182031	5.002734
0.0275	2.489063	2.608594	2.358984	2.267578	2.879297	2.471484
0.03	-0.8050781	-0.8226563	-0.7242188	-0.9597656	-0.6011719	-1.230469
0.0325	-2.633203	-2.53125	-2.341406	-2.559375	-2.457422	-3.086719
0.035	-1.539844	-1.170703	-1.198828	-1.262109	-1.212891	-1.606641
0.0375	1.515234	2.077734	1.719141	1.814063	2.035547	1.937109
0.04	3.997266	4.507031	3.990234	4.116797	4.570313	4.598438
0.0425	3.842578	4.102734	3.744141	3.744141	4.275	4.183594
0.045	1.156641	1.170703	1.167188	0.9878906	1.374609	1.019531
0.0475	-1.849219	-1.884375	-1.610156	-1.877344	-1.754297	-2.288672
0.05	-2.696484	-2.548828	-2.281641	-2.478516	-2.538281	-2.995313
0.0525	-0.7066406	-0.2988281	-0.3058594	-0.3304688	-0.3550781	-0.5378906
0.055	2.471484	2.98125	2.678906	2.777344	2.963672	3.044531
0.0575	4.239844	4.605469	4.253906	4.317188	4.696875	4.826953
0.06	3.114844	3.202734	3.104297	3.002344	3.382031	3.329297
0.0625	-0.01054688	-0.1230469	0.1546875	-0.1125	0.04570313	-0.2566406
0.065	-2.552344	-2.633203	-2.141016	-2.453906	-2.562891	-2.970703
0.0675	-2.439844	-2.292188	-1.908984	-2.109375	-2.341406	-2.598047
0.07	0.2003906	0.5730469	0.6433594	0.6152344	0.4851563	0.5273438
0.0725	3.209766	3.614063	3.441797	3.491016	3.589453	3.839063
0.075	4.102734	4.296094	4.180078	4.141406	4.3875	4.594922
0.0775	2.102344	2.010938	2.221875	1.993359	2.183203	2.133984
0.08	-1.132031	-1.364063	-0.8050781	-1.18125	-1.233984	-1.51875
0.0825	-2.921484	-3.0375	-2.387109	-2.749219	-3.041016	-3.350391
0.085	-1.810547	-1.659375	-1.230469	-1.434375	-1.771875	-1.863281
0.0875	1.286719	1.624219	1.719141	1.676953	1.51875	1.708594
0.09	3.846094	4.127344	4.053516	4.039453	4.120313	4.436719
0.0925	3.744141	3.775781	3.842578	3.701953	3.877734	4.060547
0.095	1.040625	0.8191406	1.248047	0.9210938	0.9667969	0.8578125
0.0975	-2.017969	-2.292188	-1.578516	-2.003906	-2.211328	-2.513672
0.1	-2.903906	-2.991797	-2.302734	-2.654297	-3.044531	-3.276563
0.1025	-0.9035156	-0.7277344	-0.3410156	-0.5132813	-0.8648438	-0.8191406
0.105	2.323828	2.622656	2.685938	2.64375	2.513672	2.816016
0.1075	4.127344	4.299609	4.289063	4.21875	4.303125	4.633594
0.11	2.991797	2.889844	3.125391	2.882813	2.991797	3.114844
0.1125	-0.1652344	-0.4640625	0.1441406	-0.2707031	-0.3621094	-0.5132813
0.115	-2.731641	-2.995313	-2.19375	-2.657813	-3.002344	-3.269531
0.1175	-2.629688	-2.657813	-1.989844	-2.334375	-2.787891	-2.925
0.12	0.03515625	0.2460938	0.5730469	0.4078125	0.08085938	0.2179688
0.1225	3.069141	3.325781	3.382031	3.311719	3.241406	3.561328
0.125	3.976172	4.039453	4.127344	3.976172	4.081641	4.341797
0.1275	2.014453	1.803516	2.179688	1.849219	1.9125	1.905469
0.13	-1.202344	-1.539844	-0.8507813	-1.318359	-1.480078	-1.740234
0.1325	-3.026953	-3.241406	-2.460938	-2.917969	-3.308203	-3.6
0.135	-1.951172	-1.894922	-1.335938	-1.634766	-2.056641	-2.144531
0.1375	1.142578	1.395703	1.603125	1.473047	1.241016	1.430859
0.14	3.705469	3.912891	3.930469	3.842578	3.860156	4.1625
0.1425	3.617578	3.578906	3.726563	3.515625	3.638672	3.803906
0.145	0.9351563	0.646875	1.132031	0.7417969	0.7523438	0.6292969
0.1475	-2.123438	-2.460938	-1.705078	-2.19375	-2.422266	-2.745703
0.15	-3.033984	-3.181641	-2.453906	-2.86875	-3.269531	-3.54375
0.1525	-1.058203	-0.9316406	-0.5167969	-0.7488281	-1.089844	-1.110938
