Interval=	0.001 s
ExcelDateTime=	4.5725815497271840e+004	3/9/2025 19:34:18.964287
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.001	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.002	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.003	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.004	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.005	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.006	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.007	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.008	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.009	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.01	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.011	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.012	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.013	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.014	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.015	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.016	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.017	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.018	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.019	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.02	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.021	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.022	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.023	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.024	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.025	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.026	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.027	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.028	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.029	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.03	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.031	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.032	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.033	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.034	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.035	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.036	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.037	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.038	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.039	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.04	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.041	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.042	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.043	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.044	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.045	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.046	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.047	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.048	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.049	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.05	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.051	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.052	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
0.053	-9.190549	-9.749585	-8.658432	-9.290656	-9.534813	-10.476
