Interval=	0.001 s
ExcelDateTime=	4.5785669035211446e+004	5/8/2025 16:03:24.642269
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	1.729688	1.698047	1.750781	1.634766	1.807031	1.455469	1.543359	1.567969
0.001	1.729688	1.698047	1.754297	1.634766	1.807031	1.455469	1.543359	1.567969
0.002	1.719141	1.676953	1.740234	1.599609	1.8	1.40625	1.515234	1.532813
0.003	1.564453	1.508203	1.585547	1.434375	1.638281	1.248047	1.360547	1.364063
0.004	1.163672	1.100391	1.202344	1.044141	1.212891	0.9070313	0.9878906	0.9703125
0.005	0.5660156	0.5027344	0.6292969	0.4746094	0.5695313	0.4183594	0.4359375	0.4042969
0.006	0.01054688	-0.04921875	0.09140625	-0.0421875	-0.028125	-0.00703125	-0.06679688	-0.0984375
0.007	-0.5519531	-0.6117188	-0.45	-0.5660156	-0.6398438	-0.4394531	-0.5800781	-0.6082031
0.008	-1.061719	-1.110938	-0.9386719	-1.026563	-1.195313	-0.8050781	-1.033594	-1.065234
0.009	-1.35	-1.395703	-1.216406	-1.279688	-1.515234	-0.9808594	-1.276172	-1.304297
0.01	-1.423828	-1.458984	-1.283203	-1.321875	-1.599609	-0.9878906	-1.321875	-1.339453
0.011	-1.311328	-1.339453	-1.177734	-1.198828	-1.490625	-0.871875	-1.212891	-1.212891
0.012	-0.9984375	-1.026563	-0.8824219	-0.8964844	-1.160156	-0.6046875	-0.9175781	-0.9070313
0.013	-0.4429688	-0.4675781	-0.3515625	-0.365625	-0.5589844	-0.140625	-0.4007813	-0.3761719
0.014	0.1300781	0.1054688	0.2003906	0.1722656	0.05625	0.3128906	0.1195313	0.1511719
0.015	0.6890625	0.6644531	0.7382813	0.6960938	0.6609375	0.7382813	0.6257813	0.6609375
0.016	1.244531	1.219922	1.269141	1.205859	1.265625	1.149609	1.125	1.160156
0.017	1.599609	1.571484	1.613672	1.525781	1.659375	1.388672	1.434375	1.4625
0.018	1.736719	1.698047	1.750781	1.634766	1.814063	1.448438	1.536328	1.553906
0.019	1.680469	1.63125	1.698047	1.557422	1.761328	1.360547	1.473047	1.476563
0.02	1.448438	1.399219	1.476563	1.328906	1.522266	1.146094	1.255078	1.244531
0.021	0.9597656	0.9070313	1.0125	0.8578125	1.001953	0.7347656	0.7980469	0.7734375
0.022	0.365625	0.309375	0.4359375	0.2917969	0.3585938	0.2601563	0.2425781	0.2179688
0.023	-0.1722656	-0.2285156	-0.08789063	-0.2109375	-0.2285156	-0.1582031	-0.2425781	-0.2671875
0.024	-0.7382813	-0.7875	-0.6363281	-0.73125	-0.84375	-0.5871094	-0.7488281	-0.7804688
0.025	-1.170703	-1.212891	-1.058203	-1.121484	-1.321875	-0.8824219	-1.132031	-1.156641
0.026	-1.371094	-1.40625	-1.262109	-1.29375	-1.557422	-0.9878906	-1.304297	-1.311328
0.027	-1.367578	-1.395703	-1.269141	-1.272656	-1.571484	-0.9492188	-1.29375	-1.276172
0.028	-1.195313	-1.216406	-1.107422	-1.093359	-1.399219	-0.7910156	-1.125	-1.093359
0.029	-0.8015625	-0.8085938	-0.7242188	-0.7066406	-0.9703125	-0.45	-0.7453125	-0.703125
0.03	-0.2144531	-0.2214844	-0.1582031	-0.1476563	-0.3339844	0.028125	-0.2039063	-0.1511719
0.031	0.3269531	0.3269531	0.3832031	0.3691406	0.2671875	0.4640625	0.2953125	0.3480469
0.032	0.8964844	0.8929688	0.9421875	0.9	0.8894531	0.8964844	0.8121094	0.8648438
0.033	1.399219	1.385156	1.427344	1.353516	1.434375	1.255078	1.262109	1.304297
0.034	1.673438	1.652344	1.698047	1.592578	1.740234	1.423828	1.490625	1.525781
0.035	1.736719	1.708594	1.761328	1.63125	1.814063	1.423828	1.525781	1.550391
0.036	1.624219	1.582031	1.652344	1.501172	1.705078	1.29375	1.409766	1.420313
0.037	1.311328	1.262109	1.357031	1.191797	1.381641	1.019531	1.117969	1.110938
0.038	0.7453125	0.6960938	0.8191406	0.6574219	0.7875	0.5589844	0.5976563	0.5730469
0.039	0.1722656	0.1195313	0.2671875	0.1195313	0.1652344	0.1089844	0.07382813	0.04570313
