Interval=	0.001 s
ExcelDateTime=	4.5785657414745801e+004	5/8/2025 15:46:40.634037
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.9421875	0.8894531	0.9738281	0.9175781	1.065234	0.6152344	0.928125	0.8472656
0.001	0.9421875	0.8929688	0.9738281	0.9175781	1.065234	0.6152344	0.928125	0.8472656
0.002	0.759375	0.703125	0.7945313	0.73125	0.8683594	0.4605469	0.7417969	0.6574219
0.003	0.4042969	0.3445313	0.4535156	0.39375	0.4921875	0.1792969	0.4148438	0.3269531
0.004	0.05976563	0	0.1265625	0.07382813	0.1335938	-0.06328125	0.1160156	0.0140625
0.005	-0.2566406	-0.3164063	-0.1757813	-0.2144531	-0.2074219	-0.2917969	-0.16875	-0.2707031
0.006	-0.5554688	-0.6152344	-0.4640625	-0.4851563	-0.5308594	-0.4992188	-0.4289063	-0.5308594
0.007	-0.7277344	-0.7839844	-0.6363281	-0.6363281	-0.7242188	-0.6082031	-0.5730469	-0.675
0.008	-0.7699219	-0.8191406	-0.675	-0.6574219	-0.7699219	-0.6117188	-0.5976563	-0.6960938
0.009	-0.6925781	-0.7417969	-0.6011719	-0.5765625	-0.6960938	-0.534375	-0.5203125	-0.6082031
0.01	-0.5273438	-0.5695313	-0.4394531	-0.4113281	-0.5273438	-0.3902344	-0.3585938	-0.4429688
0.011	-0.2320313	-0.2742188	-0.1511719	-0.1195313	-0.2074219	-0.1511719	-0.07734375	-0.1617188
0.012	0.1054688	0.06328125	0.1757813	0.2003906	0.1546875	0.1019531	0.2320313	0.1511719
0.013	0.4289063	0.3832031	0.4886719	0.4992188	0.5027344	0.3339844	0.5167969	0.4394531
0.014	0.7523438	0.7066406	0.7980469	0.7945313	0.8542969	0.5695313	0.8085938	0.7242188
0.015	0.9703125	0.9210938	1.005469	0.9878906	1.093359	0.7171875	1.008984	0.9175781
0.016	1.058203	1.008984	1.089844	1.058203	1.195313	0.759375	1.082813	0.9914063
