Interval=	0.001 s
ExcelDateTime=	4.5785673672180703e+004	5/8/2025 16:10:05.276412
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-0.1757813	-0.1617188	-0.1441406	-0.1230469	-0.3199219	-0.16875	-0.2109375	-0.0421875
0.001	-0.1757813	-0.1617188	-0.1441406	-0.1230469	-0.3199219	-0.16875	-0.2109375	-0.0421875
0.002	0.2285156	0.2425781	0.2460938	0.253125	0.1160156	0.140625	0.1546875	0.3304688
0.003	0.7664063	0.7769531	0.7628906	0.7488281	0.6996094	0.5484375	0.6433594	0.8191406
0.004	1.156641	1.163672	1.146094	1.100391	1.139063	0.8296875	1.001953	1.167188
0.005	1.353516	1.35	1.342969	1.272656	1.360547	0.9421875	1.170703	1.318359
0.006	1.374609	1.364063	1.367578	1.272656	1.388672	0.9210938	1.177734	1.311328
0.007	1.244531	1.233984	1.248047	1.139063	1.262109	0.7980469	1.047656	1.177734
0.008	0.928125	0.9140625	0.9492188	0.8332031	0.9316406	0.5273438	0.7453125	0.8648438
0.009	0.4113281	0.39375	0.4570313	0.3445313	0.3761719	0.1019531	0.2636719	0.3726563
0.01	-0.07734375	-0.09492188	-0.01757813	-0.1160156	-0.1511719	-0.2742188	-0.1828125	-0.07734375
0.011	-0.5695313	-0.5835938	-0.4957031	-0.5730469	-0.6925781	-0.6433594	-0.6363281	-0.5238281
0.012	-1.047656	-1.058203	-0.9492188	-1.005469	-1.219922	-0.9914063	-1.06875	-0.9457031
0.013	-1.339453	-1.342969	-1.2375	-1.265625	-1.539844	-1.18125	-1.325391	-1.191797
0.014	-1.437891	-1.437891	-1.339453	-1.339453	-1.659375	-1.219922	-1.399219	-1.258594
0.015	-1.371094	-1.371094	-1.279688	-1.262109	-1.599609	-1.135547	-1.321875	-1.174219
0.016	-1.146094	-1.135547	-1.061719	-1.037109	-1.360547	-0.9316406	-1.100391	-0.9421875
0.017	-0.6820313	-0.6714844	-0.6222656	-0.5976563	-0.8613281	-0.5484375	-0.6714844	-0.4992188
0.018	-0.1757813	-0.1617188	-0.1335938	-0.1160156	-0.309375	-0.1511719	-0.2039063	-0.02109375
0.019	0.2953125	0.309375	0.3234375	0.3234375	0.2039063	0.2074219	0.2214844	0.4078125
0.02	0.7910156	0.8015625	0.7980469	0.7804688	0.7453125	0.5800781	0.6679688	0.8507813
0.021	1.132031	1.135547	1.128516	1.086328	1.121484	0.815625	0.9773438	1.146094
0.022	1.272656	1.265625	1.269141	1.198828	1.283203	0.8824219	1.100391	1.251563
0.023	1.2375	1.226953	1.241016	1.153125	1.258594	0.8261719	1.058203	1.198828
0.024	1.061719	1.047656	1.072266	0.9773438	1.079297	0.6679688	0.8789063	1.0125
0.025	0.6644531	0.6503906	0.6925781	0.5941406	0.6574219	0.3304688	0.4992188	0.6257813
0.026	0.140625	0.1160156	0.1828125	0.09492188	0.08789063	-0.09492188	0.01054688	0.1300781
0.027	-0.3304688	-0.3515625	-0.2707031	-0.3410156	-0.4253906	-0.4570313	-0.4148438	-0.2988281
0.028	-0.8226563	-0.8402344	-0.7453125	-0.7945313	-0.9667969	-0.8261719	-0.8648438	-0.7417969
0.029	-1.230469	-1.244531	-1.139063	-1.160156	-1.420313	-1.110938	-1.230469	-1.100391
0.03	-1.434375	-1.444922	-1.346484	-1.339453	-1.655859	-1.233984	-1.409766	-1.265625
0.031	-1.455469	-1.4625	-1.367578	-1.346484	-1.6875	-1.212891	-1.409766	-1.262109
0.032	-1.325391	-1.325391	-1.244531	-1.209375	-1.553906	-1.079297	-1.279688	-1.117969
0.033	-1.005469	-1.001953	-0.9386719	-0.9035156	-1.212891	-0.815625	-0.9808594	-0.8050781
0.034	-0.4851563	-0.4816406	-0.4464844	-0.4148438	-0.6574219	-0.4007813	-0.4992188	-0.3128906
0.035	0.01054688	0.0140625	0.03515625	0.05273438	-0.1125	-0.0140625	-0.0421875	0.1476563
0.036	0.5132813	0.5167969	0.5203125	0.5203125	0.4324219	0.365625	0.4078125	0.6046875
0.037	0.9878906	0.9914063	0.9773438	0.9527344	0.9527344	0.7136719	0.8367188	1.033594
0.038	1.269141	1.262109	1.255078	1.198828	1.258594	0.8894531	1.082813	1.265625
0.039	1.357031	1.346484	1.342969	1.265625	1.367578	0.9246094	1.153125	1.318359
0.04	1.283203	1.272656	1.276172	1.184766	1.297266	0.8402344	1.079297	1.230469
0.041	1.051172	1.037109	1.058203	0.95625	1.054688	0.6328125	0.8472656	0.9984375
0.042	0.5871094	0.5730469	0.6117188	0.5097656	0.5589844	0.2390625	0.4078125	0.5449219
0.043	0.0703125	0.05273438	0.1089844	0.02460938	0	-0.1652344	-0.06328125	0.06328125
0.044	-0.4042969	-0.4183594	-0.3445313	-0.4148438	-0.5132813	-0.5273438	-0.4957031	-0.365625
0.045	-0.9	-0.9070313	-0.8191406	-0.871875	-1.054688	-0.8929688	-0.9421875	-0.8121094
0.046	-1.244531	-1.251563	-1.156641	-1.18125	-1.441406	-1.128516	-1.251563	-1.107422
0.047	-1.392188	-1.392188	-1.297266	-1.304297	-1.603125	-1.205859	-1.371094	-1.216406
0.048	-1.360547	-1.353516	-1.276172	-1.258594	-1.585547	-1.146094	-1.332422	-1.167188
0.049	-1.177734	-1.167188	-1.107422	-1.072266	-1.402734	-0.984375	-1.156641	-0.9773438
0.05	-0.7839844	-0.7628906	-0.73125	-0.6890625	-0.9808594	-0.6539063	-0.7839844	-0.590625
0.051	-0.2566406	-0.2355469	-0.225	-0.1933594	-0.4042969	-0.2355469	-0.2953125	-0.09492188
0.052	0.2285156	0.2460938	0.2425781	0.2601563	0.1230469	0.1371094	0.1441406	0.3445313
0.053	0.7453125	0.7558594	0.7417969	0.7347656	0.6890625	0.5273438	0.61875	0.815625
0.054	1.160156	1.170703	1.149609	1.114453	1.149609	0.8261719	0.9984375	1.18125
0.055	1.371094	1.371094	1.360547	1.29375	1.388672	0.9527344	1.18125	1.342969
0.056	1.402734	1.392188	1.392188	1.307813	1.434375	0.9386719	1.198828	1.346484
0.057	1.286719	1.269141	1.279688	1.18125	1.311328	0.8191406	1.079297	1.216406
0.058	0.9773438	0.95625	0.984375	0.8789063	0.9808594	0.5519531	0.7769531	0.9105469
0.059	0.4605469	0.4359375	0.4921875	0.3867188	0.4253906	0.1230469	0.2882813	0.4183594
0.06	-0.03164063	-0.05976563	0.0140625	-0.07734375	-0.1054688	-0.2601563	-0.1617188	-0.03867188
0.061	-0.5238281	-0.5484375	-0.4605469	-0.534375	-0.646875	-0.6363281	-0.6117188	-0.4851563
0.062	-0.9914063	-1.008984	-0.9105469	-0.9597656	-1.163672	-0.9773438	-1.033594	-0.9035156
0.063	-1.276172	-1.286719	-1.188281	-1.212891	-1.480078	-1.163672	-1.283203	-1.139063
0.064	-1.364063	-1.367578	-1.276172	-1.279688	-1.582031	-1.191797	-1.35	-1.191797
0.065	-1.283203	-1.279688	-1.198828	-1.184766	-1.508203	-1.096875	-1.262109	-1.093359
0.066	-1.040625	-1.033594	-0.9738281	-0.9457031	-1.251563	-0.8859375	-1.030078	-0.8542969
0.067	-0.5695313	-0.5625	-0.5273438	-0.4992188	-0.7488281	-0.5027344	-0.5871094	-0.4042969
0.068	-0.04921875	-0.04570313	-0.028125	-0.0140625	-0.1828125	-0.09140625	-0.1054688	0.07382813
0.069	0.4359375	0.4394531	0.4464844	0.4394531	0.3480469	0.2777344	0.3410156	0.5203125
0.07	0.9457031	0.9492188	0.9386719	0.9070313	0.9035156	0.6609375	0.8015625	0.9808594
0.071	1.297266	1.29375	1.276172	1.223438	1.290234	0.9035156	1.117969	1.283203
0.072	1.437891	1.434375	1.420313	1.35	1.4625	0.9808594	1.241016	1.385156
0.073	1.413281	1.402734	1.402734	1.311328	1.444922	0.928125	1.202344	1.339453
0.074	1.244531	1.226953	1.241016	1.135547	1.269141	0.7664063	1.033594	1.163672
0.075	0.8507813	0.8332031	0.8648438	0.7558594	0.8472656	0.4289063	0.6574219	0.7804688
0.076	0.3164063	0.2953125	0.3515625	0.2496094	0.2742188	0	0.1582031	0.2777344
0.077	-0.1652344	-0.1792969	-0.1125	-0.196875	-0.2460938	-0.365625	-0.2777344	-0.1546875
0.078	-0.6679688	-0.6785156	-0.6011719	-0.6609375	-0.7980469	-0.7453125	-0.7382813	-0.6117188
0.079	-1.082813	-1.096875	-1.001953	-1.040625	-1.262109	-1.040625	-1.110938	-0.9808594
0.08	-1.297266	-1.311328	-1.209375	-1.230469	-1.504688	-1.170703	-1.297266	-1.160156
0.081	-1.328906	-1.332422	-1.2375	-1.241016	-1.546875	-1.156641	-1.311328	-1.160156
0.082	-1.202344	-1.198828	-1.117969	-1.103906	-1.420313	-1.030078	-1.18125	-1.016016
0.083	-0.8859375	-0.8789063	-0.8261719	-0.8015625	-1.086328	-0.7664063	-0.8824219	-0.7066406
0.084	-0.3726563	-0.365625	-0.3375	-0.3164063	-0.5308594	-0.3480469	-0.4042969	-0.2214844
0.085	0.1230469	0.1300781	0.1441406	0.1476563	0.01054688	0.03867188	0.04921875	0.2390625
0.086	0.6292969	0.6328125	0.6328125	0.6152344	0.5625	0.421875	0.5132813	0.6960938
0.087	1.103906	1.107422	1.093359	1.051172	1.082813	0.7699219	0.9457031	1.121484
0.088	1.385156	1.381641	1.371094	1.300781	1.392188	0.9527344	1.188281	1.353516
0.089	1.469531	1.4625	1.458984	1.360547	1.494141	0.9808594	1.251563	1.402734
0.09	1.392188	1.381641	1.385156	1.272656	1.423828	0.8929688	1.170703	1.311328
0.091	1.153125	1.142578	1.163672	1.040625	1.174219	0.6855469	0.9457031	1.075781
0.092	0.6820313	0.6714844	0.7136719	0.5976563	0.6714844	0.2917969	0.4992188	0.6222656
0.093	0.1617188	0.1511719	0.2109375	0.1054688	0.1089844	-0.1160156	0.01757813	0.1335938
0.094	-0.3199219	-0.3269531	-0.2566406	-0.3445313	-0.4183594	-0.4816406	-0.4183594	-0.2988281
0.095	-0.8191406	-0.8226563	-0.7382813	-0.8015625	-0.9632813	-0.8542969	-0.8683594	-0.7453125
0.096	-1.167188	-1.167188	-1.075781	-1.117969	-1.357031	-1.093359	-1.184766	-1.051172
0.097	-1.318359	-1.314844	-1.223438	-1.241016	-1.529297	-1.170703	-1.311328	-1.163672
0.098	-1.290234	-1.276172	-1.198828	-1.195313	-1.511719	-1.114453	-1.276172	-1.110938
0.099	-1.110938	-1.086328	-1.030078	-1.016016	-1.328906	-0.9492188	-1.100391	-0.9246094
0.1	-0.7136719	-0.6890625	-0.6539063	-0.6328125	-0.9	-0.61875	-0.7207031	-0.5414063
0.101	-0.1828125	-0.1617188	-0.1441406	-0.1300781	-0.3199219	-0.1898438	-0.225	-0.0421875
0.102	0.3023438	0.3269531	0.3269531	0.3269531	0.2074219	0.1828125	0.2144531	0.4007813
0.103	0.8226563	0.84375	0.8261719	0.8050781	0.7734375	0.5765625	0.6890625	0.871875
0.104	1.2375	1.258594	1.230469	1.184766	1.233984	0.8753906	1.06875	1.241016
0.105	1.455469	1.4625	1.441406	1.367578	1.473047	0.9984375	1.251563	1.40625
0.106	1.487109	1.483594	1.476563	1.374609	1.51875	0.9808594	1.262109	1.40625
0.107	1.360547	1.357031	1.357031	1.241016	1.392188	0.8578125	1.142578	1.272656
0.108	1.047656	1.040625	1.061719	0.9351563	1.065234	0.590625	0.84375	0.9667969
0.109	0.534375	0.5203125	0.5695313	0.4429688	0.50625	0.1617188	0.3550781	0.4710938
0.11	0.03515625	0.01757813	0.084375	-0.02109375	-0.03164063	-0.2214844	-0.0984375	0.01054688
0.111	-0.4535156	-0.4710938	-0.3902344	-0.4816406	-0.5695313	-0.5976563	-0.5449219	-0.4324219
0.112	-0.9210938	-0.9316406	-0.8402344	-0.9105469	-1.086328	-0.9386719	-0.9667969	-0.8507813
0.113	-1.205859	-1.209375	-1.117969	-1.156641	-1.402734	-1.117969	-1.212891	-1.089844
0.114	-1.297266	-1.29375	-1.205859	-1.223438	-1.508203	-1.146094	-1.283203	-1.146094
0.115	-1.216406	-1.202344	-1.132031	-1.132031	-1.437891	-1.054688	-1.195313	-1.047656
0.116	-0.9773438	-0.95625	-0.9070313	-0.8929688	-1.184766	-0.84375	-0.9632813	-0.8050781
0.117	-0.5132813	-0.4921875	-0.4640625	-0.4464844	-0.6785156	-0.4605469	-0.5238281	-0.3585938
