Interval=	0.001 s
ExcelDateTime=	4.5785678517338551e+004	5/8/2025 16:17:03.898051
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	1.163672	1.093359	1.167188	1.06875	1.318359	0.8121094	1.061719	1.026563
0.001	1.163672	1.096875	1.167188	1.06875	1.318359	0.8121094	1.061719	1.026563
0.002	0.7664063	0.6960938	0.7945313	0.6890625	0.8929688	0.4816406	0.6820313	0.6398438
0.003	0.2671875	0.1933594	0.3164063	0.2144531	0.3480469	0.08789063	0.2144531	0.1722656
0.004	-0.16875	-0.2390625	-0.1019531	-0.1898438	-0.1265625	-0.2355469	-0.1792969	-0.2179688
0.005	-0.6292969	-0.6890625	-0.5378906	-0.6117188	-0.6257813	-0.5765625	-0.590625	-0.6257813
0.006	-0.9527344	-1.008984	-0.8507813	-0.9035156	-0.9878906	-0.8015625	-0.8824219	-0.9105469
0.007	-1.089844	-1.139063	-0.9773438	-1.016016	-1.153125	-0.871875	-1.001953	-1.016016
0.008	-1.054688	-1.096875	-0.9492188	-0.9738281	-1.128516	-0.815625	-0.9632813	-0.9597656
0.009	-0.8824219	-0.9210938	-0.7980469	-0.8085938	-0.95625	-0.6644531	-0.7945313	-0.7769531
0.01	-0.5308594	-0.5625	-0.4640625	-0.4675781	-0.5730469	-0.365625	-0.4605469	-0.4359375
0.011	-0.03515625	-0.07382813	0.003515625	0	-0.0421875	0.028125	-0.003515625	0.02109375
0.012	0.4113281	0.3761719	0.4394531	0.421875	0.4464844	0.3761719	0.4113281	0.4324219
0.013	0.8753906	0.8402344	0.8859375	0.8507813	0.95625	0.7207031	0.8367188	0.8542969
0.014	1.258594	1.216406	1.251563	1.198828	1.381641	0.9949219	1.188281	1.195313
0.015	1.455469	1.402734	1.441406	1.367578	1.606641	1.110938	1.357031	1.346484
0.016	1.480078	1.420313	1.469531	1.374609	1.641797	1.093359	1.364063	1.342969
0.017	1.357031	1.29375	1.353516	1.248047	1.522266	0.9738281	1.248047	1.212891
0.018	1.072266	1.005469	1.086328	0.9738281	1.223438	0.7347656	0.9808594	0.9351563
0.019	0.5941406	0.5308594	0.6328125	0.5238281	0.7101563	0.3480469	0.5308594	0.4816406
0.02	0.1265625	0.06679688	0.1863281	0.08789063	0.2003906	-0.00703125	0.09492188	0.04921875
0.021	-0.3164063	-0.3726563	-0.2390625	-0.3234375	-0.28125	-0.3445313	-0.309375	-0.3480469
0.022	-0.7453125	-0.7980469	-0.646875	-0.7171875	-0.7523438	-0.6609375	-0.6925781	-0.7277344
0.023	-1.001953	-1.047656	-0.8929688	-0.9492188	-1.044141	-0.8296875	-0.9210938	-0.9492188
0.024	-1.075781	-1.121484	-0.9667969	-1.001953	-1.142578	-0.8507813	-0.984375	-0.9984375
0.025	-0.9949219	-1.030078	-0.8929688	-0.9140625	-1.058203	-0.759375	-0.8894531	-0.8964844
0.026	-0.7769531	-0.8085938	-0.6925781	-0.7066406	-0.8261719	-0.5695313	-0.6785156	-0.675
0.027	-0.3550781	-0.3867188	-0.2917969	-0.3023438	-0.3796875	-0.2179688	-0.2882813	-0.2742188
0.028	0.1265625	0.09140625	0.1722656	0.1546875	0.140625	0.1617188	0.1546875	0.16875
0.029	0.5695313	0.5378906	0.6011719	0.5695313	0.6257813	0.4957031	0.5625	0.5730469
0.03	1.030078	0.9914063	1.033594	0.9949219	1.128516	0.8332031	0.9808594	0.9914063
0.031	1.353516	1.304297	1.346484	1.283203	1.487109	1.054688	1.269141	1.269141
0.032	1.490625	1.430859	1.480078	1.392188	1.641797	1.117969	1.378125	1.367578
0.033	1.458984	1.395703	1.451953	1.346484	1.617188	1.058203	1.339453	1.318359
