Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8,Ch 9,Ch 10,Ch 11,Ch 12,Ch 13,Ch 14,Ch 15,Ch 16,Ch 17,Ch 18,Ch 19,Ch 20,Ch 21,Ch 22
-2.7730656814932213,-3.923129023696713,-4.637992022826153,-2.933186013658305,-4.130910579145834,0.7570494947158335,-4.332791957737387,0.7592943521576133,-4.589456798200502,-4.75220133439242,-3.522816329638518,-4.091684845396949,-4.863707938548466,-3.969792422213252,-4.033223233424017,-4.0225819383239365,84.912003,-707.112,-701.255981,-1260.0,-2240.0,1540.0
12675.532283006532,-20096.036299695184,43947.14360630463,7219.09559430981,18117.89817672477,-30801.46340479863,7549.887738191142,36844.190460798345,-27915.983815812648,6329.7027620680765,-35132.26696844736,-2353.432681291364,-9975.579861039934,24505.75031425804,11001.10896368654,25035.16627646856,82.472,-709.064026,-701.744019,-1260.0,-2380.0,1540.0
11356.732477685922,-17956.609036189144,39329.28701718919,6481.067599376017,16236.641552957712,-27556.241218085248,6776.770408055636,32977.262826895865,-24981.732626706103,5677.661345400302,-31418.54367440359,-2082.185520910229,-8907.380512075926,21944.54591244458,9872.25675499278,22422.31138036607,82.472,-709.064026,-701.744019,-1260.0,-2380.0,1540.0
-1586.0157724215323,2591.9582062955365,-5572.633779518464,-881.0164216330722,-2260.861604166902,3928.743182219928,-925.2467393422831,-4652.768652550572,3538.2756192592046,-782.8888793112709,4488.988119821618,336.27483205881526,1295.3372356913449,-3084.719822270624,-1351.0823756101088,-3145.350081984899,75.639999,-694.424011,-716.872009,-700.0,-2660.0,840.0
-11215.167511090383,17795.32666069154,-38896.86816790182,-6381.058917425417,-16029.792197011042,27289.276334228165,-6676.405322979797,-32586.177313855747,24711.035532680497,-5598.564430750628,31103.57188600744,2089.659972440229,8835.00855432728,-21685.13028913676,-9729.608269254351,-22153.07331921032,79.543999,-692.471985,-717.359985,-560.0,-2800.0,840.0
-8162.306813245635,12849.643578686211,-28209.53090405844,-4673.034106629007,-11674.871260923448,19771.491114807453,-4884.124796109584,-23653.34838401973,17930.21429847098,-4084.808522063508,22516.22872481417,1465.8808689292996,6369.47331093465,-15757.269621198237,-7115.55938519102,-16105.887193838164,77.104004,-694.424011,-717.359985,-700.0,-2660.0,980.0
1936.2919643360108,-3178.072739800863,6818.66788428122,1069.197699096071,2758.998012988454,-4827.480505735702,1126.7487274875996,5668.769672792463,-4323.989619397815,956.462212369324,-5496.636766443009,-417.36620522712,-1587.6584660620772,3769.354722814891,1644.4568648781485,3842.17057446823,78.568001,-694.424011,-715.895996,-560.0,-2660.0,840.0
7511.163896828524,-11910.350760451034,26041.17623512344,4271.400074943173,10737.135418961305,-18315.98197965224,4473.371000022302,21775.425397002324,-16550.927814099243,3750.1092333387824,-20824.734279184377,-1394.291470365324,-5912.046228046171,14519.83803133488,6520.307745162021,14834.9302828272,76.615997,-694.911987,-716.872009,-700.0,-2940.0,980.0
4756.523194650446,-7434.88384706582,16384.13607879725,2737.104760358705,6808.400801669956,-11493.007735878997,2858.914247244456,13735.523287907625,-10426.451374672375,2383.895177883226,-13060.121760324086,-825.3128927488882,-3681.340128179137,9168.241710379072,4165.839376456342,9376.400869905909,79.543999,-694.911987,-713.455994,-980.0,-2800.0,700.0
-769.7730241726659,1312.9890594811468,-2760.1242322463954,-406.1634498681628,-1093.1756530845655,2006.371335363057,-436.2416429948332,-2240.985068731816,1745.498368307089,-377.1436750438992,2245.622879742523,191.48290413684123,658.6082413934864,-1509.9235920562137,-637.4154338379274,-1535.443185567444,77.592003,-695.400024,-713.455994,-700.0,-2940.0,700.0
