TimeFormat=,StartOfBlock
DateFormat=
ChannelTitle=,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
Range=,112.50 mV,112.50 mV,112.50 mV,112.50 mV,112.50 mV,112.50 mV,112.50 mV,112.50 mV
0,0.05625,0.07382813,0.03164063,-0.1265625,-0.00703125,0.1019531,-0.1371094,0.03867188
0.001,0.05625,0.07382813,0.03164063,-0.1265625,-0.00703125,0.1019531,-0.1371094,0.03867188
0.002,-0.1722656,-0.1722656,-0.1757813,-0.39375,-0.2355469,-0.09492188,-0.2988281,-0.1546875
0.003,-0.4113281,-0.4078125,-0.3902344,-0.6363281,-0.4394531,-0.2988281,-0.4535156,-0.3445313
0.004,-0.50625,-0.4710938,-0.4675781,-0.703125,-0.4746094,-0.3726563,-0.4886719,-0.3867188
0.005,-0.5167969,-0.4464844,-0.4746094,-0.6644531,-0.4253906,-0.365625,-0.4710938,-0.3550781
0.006,-0.4183594,-0.2953125,-0.3761719,-0.4816406,-0.253125,-0.253125,-0.3726563,-0.2214844
0.007,-0.2144531,-0.03867188,-0.1828125,-0.1863281,0.01054688,-0.06328125,-0.1933594,0
0.008,-0.0140625,0.2074219,0,0.0984375,0.2601563,0.1160156,-0.03164063,0.2003906
0.009,0.1933594,0.4746094,0.196875,0.39375,0.50625,0.3058594,0.1195313,0.4007813
0.01,0.3902344,0.7136719,0.3796875,0.6539063,0.7242188,0.478125,0.2566406,0.5765625
0.011,0.5027344,0.8332031,0.478125,0.7839844,0.8261719,0.5589844,0.3269531,0.6539063
0.012,0.5238281,0.8402344,0.4816406,0.7910156,0.8050781,0.5589844,0.3058594,0.6433594
0.013,0.5097656,0.7945313,0.4570313,0.7382813,0.73125,0.5308594,0.2460938,0.590625
0.014,0.4675781,0.7101563,0.4148438,0.6328125,0.61875,0.4816406,0.1757813,0.5132813
0.015,0.3972656,0.5695313,0.3410156,0.4535156,0.4535156,0.4078125,0.09140625,0.4042969
0.016,0.3164063,0.4183594,0.2601563,0.2707031,0.2988281,0.3234375,0.0140625,0.2917969
0.017,0.2039063,0.2460938,0.1617188,0.0703125,0.140625,0.2144531,-0.05976563,0.16875
0.018,0.02460938,0.02109375,0,-0.1792969,-0.06328125,0.05273438,-0.1757813,0
0.019,-0.2355469,-0.253125,-0.2320313,-0.4710938,-0.3128906,-0.16875,-0.3585938,-0.2179688
0.02,-0.4816406,-0.478125,-0.4464844,-0.6960938,-0.5027344,-0.3691406,-0.5167969,-0.3972656
0.021,-0.5800781,-0.5484375,-0.5308594,-0.7558594,-0.5414063,-0.4359375,-0.5625,-0.4429688
0.022,-0.5414063,-0.4710938,-0.4921875,-0.6644531,-0.4429688,-0.3867188,-0.50625,-0.365625
0.023,-0.3761719,-0.2460938,-0.3304688,-0.4078125,-0.2039063,-0.2214844,-0.3550781,-0.1722656
0.024,-0.1546875,0.028125,-0.1195313,-0.09492188,0.07734375,-0.0140625,-0.1652344,0.05625
0.025,0.084375,0.3234375,0.1054688,0.2144531,0.365625,0.1933594,0.02460938,0.2847656
0.026,0.3199219,0.6046875,0.3199219,0.5238281,0.6328125,0.39375,0.2003906,0.4992188
0.027,0.4324219,0.759375,0.4289063,0.7066406,0.7734375,0.5027344,0.28125,0.6117188
0.028,0.4535156,0.7945313,0.4464844,0.7558594,0.7839844,0.5203125,0.28125,0.6257813
0.029,0.4640625,0.7875,0.4429688,0.7453125,0.7488281,0.5132813,0.2496094,0.5976563
0.03,0.4605469,0.7523438,0.4289063,0.6925781,0.6785156,0.4886719,0.2144531,0.5484375
0.031,0.4253906,0.6539063,0.3832031,0.5660156,0.5554688,0.4394531,0.1582031,0.4675781
0.032,0.39375,0.5414063,0.3410156,0.4113281,0.4289063,0.3902344,0.1089844,0.3832031
0.033,0.3304688,0.4113281,0.28125,0.2496094,0.2988281,0.3234375,0.05625,0.2882813
0.034,0.1511719,0.1828125,0.1230469,0,0.084375,0.1757813,-0.05976563,0.1265625
0.035,-0.1089844,-0.1125,-0.1089844,-0.3164063,-0.1828125,-0.04570313,-0.2390625,-0.1019531
0.036,-0.3796875,-0.3832031,-0.3585938,-0.5941406,-0.4253906,-0.2742188,-0.421875,-0.3234375
0.037,-0.5625,-0.5414063,-0.5167969,-0.7488281,-0.5484375,-0.4183594,-0.5203125,-0.4429688
0.038,-0.6046875,-0.5484375,-0.5554688,-0.7453125,-0.5308594,-0.4394531,-0.5238281,-0.4394531
0.039,-0.4921875,-0.3867188,-0.4464844,-0.5695313,-0.3585938,-0.3269531,-0.4113281,-0.2988281
0.04,-0.2636719,-0.1019531,-0.225,-0.2566406,-0.06328125,-0.1160156,-0.2074219,-0.05625
0.041,-0.07734375,0.1441406,-0.0421875,0.02109375,0.1792969,0.06328125,-0.04570313,0.1441406
0.042,0.1054688,0.3902344,0.1300781,0.3023438,0.4113281,0.2425781,0.09492188,0.3375
0.043,0.309375,0.6363281,0.3128906,0.5800781,0.6398438,0.4183594,0.2390625,0.5203125
0.044,0.4113281,0.759375,0.4007813,0.7242188,0.7488281,0.4992188,0.3058594,0.5976563
0.045,0.4394531,0.7804688,0.4183594,0.7488281,0.7488281,0.50625,0.2917969,0.5941406
0.046,0.4851563,0.7910156,0.45,0.7523438,0.73125,0.5203125,0.2777344,0.5871094
0.047,0.5097656,0.7699219,0.4675781,0.703125,0.675,0.5167969,0.2601563,0.5625
0.048,0.4394531,0.6328125,0.39375,0.534375,0.5203125,0.4429688,0.1757813,0.4570313
