TimeFormat=,StartOfBlock
DateFormat=
ChannelTitle=,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
Range=,112.50 mV,112.50 mV,112.50 mV,112.50 mV,112.50 mV,112.50 mV,112.50 mV,112.50 mV
0,0.4851563,0.4570313,0.478125,0.28125,0.3621094,0.2847656,0.3023438,0.2988281
0.001,0.4886719,0.4570313,0.478125,0.28125,0.3621094,0.2847656,0.3023438,0.2988281
0.002,0.3128906,0.2496094,0.3199219,0.04570313,0.1617188,0.140625,0.1828125,0.140625
0.003,0.0703125,-0.0140625,0.09492188,-0.2355469,-0.07734375,-0.06679688,0.0140625,-0.0703125
0.004,-0.09140625,-0.1757813,-0.04921875,-0.4042969,-0.2074219,-0.2144531,-0.084375,-0.2003906
0.005,-0.1617188,-0.2179688,-0.1019531,-0.4464844,-0.225,-0.2636719,-0.1054688,-0.225
0.006,-0.1582031,-0.1722656,-0.08789063,-0.3796875,-0.1617188,-0.2355469,-0.08085938,-0.1757813
0.007,-0.0140625,0.01757813,0.04570313,-0.1511719,0.05273438,-0.09140625,0.05273438,0
0.008,0.1933594,0.2847656,0.253125,0.1582031,0.3375,0.1125,0.253125,0.2355469
0.009,0.3832031,0.5273438,0.4359375,0.4359375,0.5765625,0.2917969,0.4113281,0.4289063
0.01,0.5800781,0.7734375,0.61875,0.7136719,0.8121094,0.4675781,0.5554688,0.6152344
0.011,0.7664063,0.984375,0.7839844,0.9457031,1.008984,0.6257813,0.6925781,0.7769531
0.012,0.8367188,1.051172,0.8367188,1.023047,1.058203,0.675,0.73125,0.8191406
0.013,0.7910156,0.9949219,0.7875,0.9703125,0.9773438,0.6292969,0.6539063,0.7488281
0.014,0.7347656,0.9140625,0.7277344,0.8824219,0.8789063,0.5730469,0.5660156,0.6644531
0.015,0.6574219,0.8015625,0.6503906,0.7347656,0.7347656,0.4957031,0.4746094,0.5625
0.016,0.5625,0.646875,0.5519531,0.534375,0.5519531,0.4042969,0.3726563,0.4324219
