TimeFormat=,StartOfBlock
DateFormat=
ChannelTitle=,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
Range=,112.50 mV,112.50 mV,112.50 mV,112.50 mV,112.50 mV,112.50 mV,112.50 mV,112.50 mV
0,0.9070313,0.2601563,0.928125,0.7699219,0.6925781,-2.074219,0.5589844,-0.08789063
0.001,0.9070313,0.2601563,0.928125,0.7699219,0.6925781,-2.074219,0.5589844,-0.08789063
0.002,0.9316406,0.2601563,0.9351563,0.7558594,0.6679688,-2.074219,0.5414063,-0.1230469
0.003,0.9351563,0.2214844,0.9246094,0.6925781,0.6011719,-2.091797,0.4992188,-0.1792969
0.004,0.9070313,0.1441406,0.8859375,0.5765625,0.4886719,-2.133984,0.4429688,-0.2566406
0.005,0.8648438,0.05273438,0.84375,0.4464844,0.3761719,-2.190234,0.3867188,-0.3410156
0.006,0.7769531,-0.0703125,0.759375,0.2917969,0.2390625,-2.278125,0.3199219,-0.4429688
0.007,0.590625,-0.2742188,0.5871094,0.06328125,0.03867188,-2.439844,0.2003906,-0.6046875
0.008,0.3339844,-0.5308594,0.3480469,-0.196875,-0.1933594,-2.654297,0.03515625,-0.8050781
0.009,0.1195313,-0.7207031,0.1582031,-0.3867188,-0.3515625,-2.826563,-0.08085938,-0.9492188
0.01,0.02460938,-0.7910156,0.07382813,-0.4464844,-0.3867188,-2.889844,-0.1089844,-0.9738281
0.011,0.0421875,-0.7417969,0.1054688,-0.3761719,-0.3058594,-2.851172,-0.05976563,-0.8929688
0.012,0.1722656,-0.5730469,0.2425781,-0.1757813,-0.1089844,-2.710547,0.0703125,-0.7171875
0.013,0.3515625,-0.3585938,0.4253906,0.06328125,0.1195313,-2.541797,0.225,-0.5203125
0.014,0.5273438,-0.1511719,0.6011719,0.2917969,0.3304688,-2.376563,0.365625,-0.3515625
0.015,0.7136719,0.06328125,0.7769531,0.5378906,0.5414063,-2.204297,0.4957031,-0.1863281
0.016,0.8402344,0.2039063,0.8894531,0.6996094,0.6785156,-2.095313,0.5765625,-0.08789063
0.017,0.8824219,0.2390625,0.9140625,0.7453125,0.7101563,-2.074219,0.5765625,-0.084375
0.018,0.9175781,0.2496094,0.9246094,0.7523438,0.7066406,-2.070703,0.5554688,-0.1089844
0.019,0.9386719,0.2425781,0.9316406,0.73125,0.6785156,-2.070703,0.5308594,-0.1441406
0.02,0.928125,0.1898438,0.9070313,0.6503906,0.5941406,-2.098828,0.4816406,-0.2109375
0.021,0.8964844,0.1019531,0.8648438,0.534375,0.4851563,-2.144531,0.421875,-0.2917969
0.022,0.8402344,0,0.8085938,0.4042969,0.3691406,-2.207813,0.3691406,-0.3796875
