Interval=	0.001 s
ExcelDateTime=	4.5771605464796361e+004	4/24/2025 14:31:52.158405
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.39375	-0.7347656	0.3164063	-0.2707031	0.2039063	-0.6328125	0.1898438	-0.3445313
0.001	0.39375	-0.7347656	0.3164063	-0.2707031	0.2039063	-0.6328125	0.1898438	-0.3445313
0.002	0.39375	-0.7136719	0.3199219	-0.2320313	0.2566406	-0.61875	0.2179688	-0.309375
0.003	0.5273438	-0.5484375	0.4570313	-0.03515625	0.4675781	-0.4851563	0.3585938	-0.140625
0.004	0.73125	-0.3128906	0.6609375	0.2320313	0.7417969	-0.2988281	0.5378906	0.07734375
0.005	0.8683594	-0.140625	0.7980469	0.45	0.9316406	-0.1582031	0.6609375	0.2390625
0.006	1.0125	0.028125	0.9316406	0.6679688	1.114453	-0.02460938	0.7804688	0.3867188
0.007	1.139063	0.1722656	1.044141	0.8472656	1.258594	0.08085938	0.8789063	0.5027344
0.008	1.177734	0.2109375	1.075781	0.8964844	1.286719	0.1019531	0.8894531	0.5203125
0.009	1.188281	0.2144531	1.072266	0.8929688	1.258594	0.0984375	0.8507813	0.4992188
0.01	1.230469	0.2355469	1.096875	0.8929688	1.241016	0.1089844	0.8402344	0.4921875
0.011	1.265625	0.2285156	1.117969	0.8542969	1.202344	0.1089844	0.8332031	0.4640625
0.012	1.226953	0.1441406	1.072266	0.73125	1.079297	0.06328125	0.7628906	0.3832031
0.013	1.160156	0.03867188	1.001953	0.5871094	0.9492188	0.00703125	0.6855469	0.2917969
0.014	1.072266	-0.07734375	0.9175781	0.421875	0.8085938	-0.0703125	0.6117188	0.1863281
0.015	0.9	-0.2742188	0.759375	0.1863281	0.6011719	-0.2214844	0.4851563	0.02109375
0.016	0.6539063	-0.5167969	0.534375	-0.06679688	0.365625	-0.4324219	0.3164063	-0.1792969
0.017	0.4675781	-0.675	0.3726563	-0.2285156	0.2285156	-0.5765625	0.2074219	-0.3023438
0.018	0.4148438	-0.6925781	0.3304688	-0.2425781	0.2355469	-0.6011719	0.2109375	-0.3023438
0.019	0.4289063	-0.646875	0.3515625	-0.1652344	0.3164063	-0.5625	0.2566406	-0.2355469
0.02	0.5378906	-0.50625	0.4675781	0.01757813	0.5132813	-0.4464844	0.3726563	-0.09140625
0.021	0.7101563	-0.3023438	0.6398438	0.2636719	0.7488281	-0.2847656	0.5308594	0.09492188
0.022	0.8648438	-0.1125	0.7910156	0.4921875	0.9527344	-0.140625	0.6609375	0.2636719
0.023	1.023047	0.0703125	0.9386719	0.7207031	1.142578	0	0.7804688	0.421875
0.024	1.153125	0.2074219	1.054688	0.8859375	1.276172	0.1054688	0.8753906	0.5308594
0.025	1.226953	0.2742188	1.110938	0.9527344	1.325391	0.1476563	0.9035156	0.5695313
0.026	1.244531	0.2707031	1.114453	0.9457031	1.297266	0.1441406	0.871875	0.5449219
0.027	1.233984	0.2320313	1.089844	0.8964844	1.226953	0.1195313	0.8226563	0.4957031
0.028	1.219922	0.1792969	1.065234	0.8085938	1.128516	0.09492188	0.7734375	0.4359375
0.029	1.191797	0.1089844	1.037109	0.6925781	1.019531	0.05625	0.7136719	0.3621094
0.03	1.146094	0.01757813	0.9878906	0.5625	0.9105469	0.003515625	0.6574219	0.28125
0.031	1.058203	-0.1054688	0.9035156	0.3902344	0.7699219	-0.07734375	0.590625	0.16875
